Citance Number: 1 | Reference Article:  N01-1020.txt | Citing Article:  H05-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is work on lexicon induction using string distance or other phonetic/orthographic comparison techniques, such as Mann and Yarowsky (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multipath Translation Lexicon Induction Via Bridge Languages</S><S sid = NA ssid = NA>Learning string distance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N01-1020.txt | Citing Article:  H05-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, while some techniques (e.g., Mann and Yarowsky (2001)) use multiple languages, the languages used have resources such as dictionaries between some language pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, the use of multiple bridge languages and of the high degree of intra-family language similarity for dictionary induction is new.</S><S sid = NA ssid = NA>Finally, the use of multiple bridge languages and of the high degree of intra-family language similarity for dictionary induction is new.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N01-1020.txt | Citing Article:  W06-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mann and Yarowsky (2001) present a method for inducing translation lexicons based on trasduction modules of cognate pairs via bridge languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we explore ways of using cognate pairs to create translation lexicons.</S><S sid = NA ssid = NA>In this paper, we explore ways of using cognate pairs to create translation lexicons.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N01-1020.txt | Citing Article:  W06-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly to Mann and Yarowsky (2001), we show that languages are often close enough to others within their language family so that cognate pairs between the two are common, and significant portions of the translation lexicon can be induced with high accuracy where no bilingual dictionary or parallel corpora may exist.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, the use of multiple bridge languages and of the high degree of intra-family language similarity for dictionary induction is new.</S><S sid = NA ssid = NA>Finally, the use of multiple bridge languages and of the high degree of intra-family language similarity for dictionary induction is new.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N01-1020.txt | Citing Article:  W06-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mann and Yarowsky (2001) applied the stochastic transducer of Ristad and Yianilos (1998) for inducing translation lexicons between two languages, but found that in some cases it offered no improvement over Levenshtein distance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Machine transliter- Linguistics, E. Ristad and P. Yianilos.</S><S sid = NA ssid = NA>Probabilistic string edit distance learning techniques have been studied by Ristad and Yianilos (1998) for use in pronunciation modeling for speech recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


