Citance Number: 1 | Reference Article:  M95-1005.txt | Citing Article:  P99-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using the MUC co reference scoring algorithm (see Vilain et al 1995).</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  M95-1005.txt | Citing Article:  P14-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many evaluation metrics have been proposed in the past two decades, including the MUC measure (Vilain et al, 1995), B-cubed (Bagga and Baldwin, 1998), CEAF (Luo, 2005) and, more recently, BLANC gold (Recasens and Hovy, 2011).</S> | Reference Offset:  ['20','77'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 77 ssid = >Ip(S) I Thus, like the scheme proposed in Sundheim et al ., we have an aesthetically pleasing inverse relationship between precision and recall .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  M95-1005.txt | Citing Article:  W07-1522.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For evaluation of coreference relations, we calculated re call and precision based on the MUC score (Vilain et al, 1995).</S> | Reference Offset:  ['20','105'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 105 ssid = >1 ) (3?2)+(4?3) (3?1)+(4?1) = 2/5 or 40% This is consistent with the observation that the response only provides two out of the fiv e links that are minimally required to fully designate all the coreference relations .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  M95-1005.txt | Citing Article:  P07-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For evaluation, Vilain et al (1995)'s scoring algorithm was adopted to compute the recall and precision of the whole co reference resolution.</S> | Reference Offset:  ['20','102'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 102 ssid = >Based on this, we can compute recall using the corpus-wide formula for recall .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  M95-1005.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We utilized MUC (Vilain et al, 1995), B3All (Stoyanov et al, 2009), B3None (Stoyanov et al, 2009), and Pairwise F1.</S> | Reference Offset:  ['20','80'] | Reference Text:  <S sid = 20 ssid = >For recall, Sundheim et al .</S><S sid = 80 ssid = >Table 1 shows the precision and recall scores, using the model-theoretic measures , for al l of the examples given in Sundheim et al.</S> | Discourse Facet:  NA | Annotator: Automatic


