Citance Number: 1 | Reference Article:  P95-1007.txt | Citing Article:  C96-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A concise review of this research area can be found in, for instance, Lauer (1995), which dates back to Finin (1980).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Levi, 1978; Ryder, 1994) and computational linguistics (Finin, 1980; McDonald, 1982; Isabelle, 1984), techniques suitable for broad coverage parsing remain unavailable.</S><S sid = NA ssid = NA>It has the effect of dividing the evidence from a training instance across all possible categories for the words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P95-1007.txt | Citing Article:  C96-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As Lauer (1995) pointed out, using (partial) parsing of the text is too costly.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comparisons are made across five dimensions: While Hindle and Rooth (1993) use a partial parser to acquire training data, such machinery appears unnecessary for noun compounds.</S><S sid = NA ssid = NA>At the very least, this information can be applied in broad coverage parsing to assist in the control of search.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P95-1007.txt | Citing Article:  C96-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lauer (1995) compared a dependency model with adjacency models, and found that the dependency model is better.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As can be seen, the dependency model is more accurate than the adjacency model.</S><S sid = NA ssid = NA>It uses what I will call the DEPENDENCY MODEL.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P95-1007.txt | Citing Article:  C96-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is an extension of left branch preference in Lauer (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This will conceal any preference given by the parameters involving 11.</S><S sid = NA ssid = NA>Another significant difference between the models is the predictions they make about the proportion 'Lauer and Dras (1994) give a formal construction motivating the algorithm given in Lauer (1994). of left and right-branching compounds.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P95-1007.txt | Citing Article:  W07-0730.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The most significant contributions have been made by Richard Buckland, nowledged from the Microsoft Institute and the Australian Government.</S><S sid = NA ssid = NA>Given a three word compound, a search is conducted elsewhere in the corpus for each of the two possible subcomponents.</S> | Discourse Facet:  NA | Annotator: Automatic


