Citance Number: 1 | Reference Article:  C88-2121.txt | Citing Article:  P12-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consequently, lexicalized grammars offer significant parsing benefits (Schabes et al, 1988) as the number of applications of productions (i.e., derivation steps) is clearly bounded by the length of the input string.</S> | Reference Offset:  ['144','168'] | Reference Text:  <S sid = 144 ssid = >The number of rules that can be used for a given sentence is bounded and is proportional to the length of the sentence.</S><S sid = 168 ssid = >After the first step, we have a grammar whose size is proportional to the length of the input string.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C88-2121.txt | Citing Article:  C96-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Restrictions on possible relations are attached to the words ,e.g., expressed as valencies in the case of dependency relations, yielding a strictly lexicalized grammar in the sense of Schabes et al (1988).</S> | Reference Offset:  ['192','268'] | Reference Text:  <S sid = 192 ssid = >It places no restrictions on the grammar.</S><S sid = 268 ssid = >Schabes, Yves and Joshi, Aravind K., 1988 (a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C88-2121.txt | Citing Article:  C96-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The lexical distribution of grammatical knowledge one finds in many lexiealized grammar formalisms (e.g., LTAGS (Schabes et al, 1988) or HPSG (Pollard& amp; Sag, 1994)) is still constrained to declarative notions.</S> | Reference Offset:  ['24','268'] | Reference Text:  <S sid = 24 ssid = >lexical rules in LFG, used also by HPSG, or Gross 1984s lexicon- grammar).</S><S sid = 268 ssid = >Schabes, Yves and Joshi, Aravind K., 1988 (a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C88-2121.txt | Citing Article:  P07-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >At the same time, there is growing interest in parsing with more sophisticated lexicalized grammar formalisms, such as Lexical Functional Grammar (LFG) (Bresnan, 1982), Lexicalized Tree Adjoining Grammar (LTAG) (Schabes et al, 1988), Head driven Phrase Structure Grammar (HPSG) (Pollardand Sag, 1994) and Combinatory Categorial Grammar (CCG) (Steedman, 2000), which represent deep syntactic structures that can not be expressed in a shallower formalism designed to represent only aspects of surface syntax, such as the dependency formalism used in current mainstream dependency parsing.</S> | Reference Offset:  ['29','78'] | Reference Text:  <S sid = 29 ssid = >We say that a grammar formalism is lexicalized if it consists of: ?</S><S sid = 78 ssid = >We describe very briefly the Tree Adjoining Grammar formalism with adjunction and substitution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C88-2121.txt | Citing Article:  W01-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['143','288'] | Reference Text:  <S sid = 143 ssid = >Rules are now differen- tiated by their realization in the sentence.</S><S sid = 288 ssid = >In Proceedings of the 12 th International Conference on Computational Linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


