Citance Number: 1 | Reference Article:  C04-1200.txt | Citing Article:  H05-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This idea is similar to that of (Kim and Hovy, 2004) and (Hu and Liu, 2004), but instead of using a window of size k or the output of a noun phrase chunker, OPINE takes advantage of the syntactic dependencies computed by the MINIPAR parser.</S> | Reference Offset:  ['76','145'] | Reference Text:  <S sid = 76 ssid = >Table 2 shows several examples of the system output, computed with Equation (2), in which ?+?</S><S sid = 145 ssid = >0.3 0.4 0.5 0.6 0.7 0.8 0.9 m0p1 m0p3 m1p1 m1p2 m1p3 m1p4 m2p1 m2p2 m2p3 m2p4 ac cu ra cy Window 1 Window 2 Window 3 Window 4 0.3 0.4 0.5 0.6 0.7 0.8 0.9 m0p1 m0p3 m1p1 m1p2 m1p3 m1p4 m2p1 m2p2 m2p3 m2p4 ac cu rac y Window 1 Window 2 Window 3 Window 4 Human 1 : Machine Human 2 : Machine Figure 2: Results with manually annotated Holder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1200.txt | Citing Article:  P13-2085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(signed integers representing positive and negative feelings) (Kim and Hovy, 2004).</S> | Reference Offset:  ['55','78'] | Reference Text:  <S sid = 55 ssid = >We assume synonyms of positive words are mostly positive and antonyms mostly negative, e.g., the positive word ?good?</S><S sid = 78 ssid = >negative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1200.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, they have been an essential ingredient for fine grained sentiment analysis (e.g., Kim and Hovy (2004), Kennedy and Inkpen (2005), Wilson et al (2005)).</S> | Reference Offset:  ['8','54'] | Reference Text:  <S sid = 8 ssid = >(Wiebe et al 2002; Riloff et al 2003), concentrates just on explicit statements of evaluation, such as of films (Turney 2002; Pang et al 2002), or focuses on just one aspect of opinion, e.g., (Hatzivassiloglou and McKeown 1997) on adjectives.</S><S sid = 54 ssid = >The basic approach is to assemble a small amount of seed words by hand, sorted by polarity into two lists?positive and negative?and then to grow this by adding words obtained from WordNet (Miller et al 1993; Fellbaum et al 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1200.txt | Citing Article:  C10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kim and Hovy (2004) try to determine the final sentiment orientation of a given sentence by combining sentiment words within it.</S> | Reference Offset:  ['86','132'] | Reference Text:  <S sid = 86 ssid = >2.2 Sentence Sentiment Classifier.</S><S sid = 132 ssid = >3.2 Sentence Sentiment Classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


