Citance Number: 1 | Reference Article:  H94-1046.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also (Miller et al, 1994) tagging semantically SemCor by hand, measure an error rate around 10% for polysemous words.</S> | Reference Offset:  ['77','85'] | Reference Text:  <S sid = 77 ssid = >Separate distributions are shown for all open- class words (both monosemous and polysemous) and for the polysemous open-class words alone.</S><S sid = 85 ssid = >Genre N All Words Polysemous A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H94-1046.txt | Citing Article:  S10-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, the similarity and relatedness measures used in the system may rely on SemCor data (Miller et al., 1994).</S> | Reference Offset:  ['118','148'] | Reference Text:  <S sid = 118 ssid = >This similarity can be attributed to the limited size of the semantic oncordance: no co-occurrence data were available for 28% of the polysemous words, so the most-frequent heuristic had to he used; moreover, those words for which co-occurrence data were available tended to occur in their most frequent senses.</S><S sid = 148 ssid = >Miller, G. A., Ed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H94-1046.txt | Citing Article:  W97-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sense-tagged corpus SEMCOR, prepared by (Miller et al, 1994), contains a substantial subset of the Brown corpus tagged with the refined senses of WORDNET.</S> | Reference Offset:  ['52','133'] | Reference Text:  <S sid = 52 ssid = >If the syntactically tagged word (word/pos) has more than one sense in WordNet, consult the semantic concordance to determine which sense occurred most often in that corpus and assign that sense to it; if there is a fie, select one of the equally frequent senses at random.</S><S sid = 133 ssid = >Anything coarser could not have been used to tag passages from the Brown Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H94-1046.txt | Citing Article:  W97-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, as reported in (Miller et al, 1994), there are not enough training examples per word in SP.</S> | Reference Offset:  ['109','112'] | Reference Text:  <S sid = 109 ssid = >If the word has more than one sense in WordNet, con- suit the semantic co-occurrence matrix to determine what senses of the word co-occur in the training material with other words in the test sentence.</S><S sid = 112 ssid = >If the polysemous word does not co-occur in the training material with other words in the test sentence, select he sense that is most 242 frequent in the training material; break ties by a random choice.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H94-1046.txt | Citing Article:  D08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among the existing sense-tagged corpora, the SEMCOR corpus (Miller et al, 1994) is one of the most widely used.</S> | Reference Offset:  ['32','133'] | Reference Text:  <S sid = 32 ssid = >These and other word counts were used by Thomdike in writing the Thorndike-Barnhart Junior Dictionary [5], adictionary for children that first appeared in 1935 and that was widely used in the public schools for many years.</S><S sid = 133 ssid = >Anything coarser could not have been used to tag passages from the Brown Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


