Reference Article:  W08-2222.txt | Citing Article:  D13-1161.txt | Citation Marker Offset:  ['63'] | Citation Marker:  Bos, 2008 | Citation Offset:  ['63'] | Citation Text:  <S sid ="63" ssid = "13">Many previous hand-engineered natural language understanding systems (Grosz et al., 1987; Alshawi, 1992; Bos, 2008) are designed to build general meaning representations that are adapted for different domains.</S> | Reference Offset:  ['156'] | Reference Text: <S sid ="156" ssid = "2">It takes as input a CCG derivation of a natural language expression, and produces formally interpretable semantic representations: either in the form of DRSs, or as formulas of first-order logic.</S> | Discourse Facet:  Method_Citation | Annotator:  Sweta Kumari |


Reference Article:  W08-2222.txt | Citing Article:  P13-1138.txt | Citation Marker Offset:  ['69'] | Citation Marker:  Bos, 2008 | Citation Offset:  ['69'] | Citation Text:  <S sid ="69" ssid = "11">We use Boxer semantic analyzer (Bos, 2008) to extract semantic predicates such as EVENT or DATE.</S> | Reference Offset:  ['3','144'] | Reference Text:  <S sid ="3" ssid = "3">The semantic representations produced by Boxer, known as Discourse Representation Structures (DRSs), incorporate a neoDavidsonian representations for events, using the VerbNet inventory of thematic roles.</S><S sid ="144" ssid = "37">The numerical and date expressions got correct representations.</S> | Discourse Facet:  Method_Citation | Annotator:  Sweta Kumari |


Reference Article:  W08-2222.txt | Citing Article:  Q13-1015.txt | Citation Marker Offset:  ['43'] | Citation Marker:  Bos, 2008 | Citation Offset:  ['43'] | Citation Text:  <S sid ="43" ssid = "26">This means that it is relatively straightforward to deterministically map parser output to a logical form, as in the Boxer system (Bos, 2008).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "5">Because the syntax-semantics is clearly defined, the choice of logical form can be independent of the categorial framework underlying it.</S> | Discourse Facet:  Method_Citation | Annotator:  Sweta Kumari |


Reference Article:  W08-2222.txt | Citing Article:  S12-1040.txt | Citation Marker Offset:  ['12'] | Citation Marker:  Bos, 2008 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">In this paper we present and evaluate a system that transforms texts into logical formulas â€“ using the C&amp;C tools and Boxer (Bos, 2008) â€“ in the context of the shared task on recognising negation in English texts (Morante and Blanco, 2012).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "5">Because the syntax-semantics is clearly defined, the choice of logical form can be independent of the categorial framework underlying it.</S> | Discourse Facet:  Method_Citation | Annotator:  Sweta Kumari |


Reference Article:  W08-2222.txt | Citing Article:  S13-1002.txt | Citation Marker Offset:  ['42'] | Citation Marker:  Bos, 2008 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "5">Wide-coverage logic-based semantics Boxer (Bos, 2008) is a software package for wide-coverage semantic analysis that produces logical forms using Discourse Representation Structures (Kamp and Reyle, 1993).</S> | Reference Offset:  ['17','11'] | Reference Text: <S sid ="17" ssid = "5">Because the syntax-semantics is clearly defined, the choice of logical form can be independent of the categorial framework underlying it.</S><S sid ="11" ssid = "11">Based on Discourse Representation Theory (Kamp and Reyle, 1993), Boxer is able to construct Discourse Representation Structures (DRSs for short, informally called “boxes” because of the way they are graphically displayed) for English sentences and texts.</S> | Discourse Facet:  Method_Citation | Annotator:  Sweta Kumari |


