Citance Number: 1 | Reference Article:  W97-1306.txt | Citing Article:  P98-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin's CogNIAC (Baldwin 1997) approach which features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CogNIAC is both an engineering effort and a different approach to information processing in variable knowledge contexts.</S><S sid = NA ssid = NA>The system has been evaluated in two distinct experiments which support the overall validity of the approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W97-1306.txt | Citing Article:  P98-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This result is comparable with the results described in (Baldwin 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Despite their poor performance, CogNIAC still remained comparable to the Naive Algorithm.</S><S sid = NA ssid = NA>This contrasts strongly with the resolve-all-pronouns results of 78%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W97-1306.txt | Citing Article:  P98-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The closest rule would be Unique in Discourse, rule 1, which does not yield a unique antecedent.</S><S sid = NA ssid = NA>For a given rule, if an antecedent is found, then the appropriate annotations are made to the text and no more rules are tried for that pronoun, otherwise the next rule is tried.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W97-1306.txt | Citing Article:  P13-2023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach for applying the rules is similar to the one proposed by Baldwin (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>What distinguishes CogNIAC from algorithms that use similar sorts of information is that it will not resolve a pronoun in circumstances of ambiguity.</S><S sid = NA ssid = NA>The system has been evaluated in two distinct experiments which support the overall validity of the approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W97-1306.txt | Citing Article:  P10-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The CogNIAC algorithm (Baldwin, 1997) was designed for high-precision AR.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note the high precision of rules 1 - 6).</S><S sid = NA ssid = NA>The high precision rules of CogNIAC performed very well, greater than 90% precision with good recall for the first experiment.</S> | Discourse Facet:  NA | Annotator: Automatic


