Citance Number: 1 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, coreference errors in state-of-the art systems are frequently due to poor models of semantic compatibility (Haghighi and Klein, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are several general trends to the errors made by our system.</S><S sid = NA ssid = NA>Overall, we conclude that our system outperforms state-of-the-art unsupervised systems12 and is in the range of the state-of-the art systems of Culotta et al. (2007) and Bengston and Roth (2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to the above, if a mention is in a deterministic coreference configuration, as defined in Haghighi and Klein (2009), we force it to take the required antecedent.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each row is a mention type and the column the predicted mention type antecedent.</S><S sid = NA ssid = NA>The required lexical pattern X who served as Y is a general appositive-like pattern that almost surely indicates coreference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For r, we use a deterministic entity assignment Zr, similar to the Haghighi and Klein (2009)'s SYN-CONSTR setting: each referring mention is coreferent with any past mention with the same head or in a deterministic syntactic configuration (appositives or predicative nominatives constructions).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some of these paths can be ruled in or out by deterministic but conservative syntactic constraints.</S><S sid = NA ssid = NA>Syntactic constraints like the binding theory, the i-within-i filter, and appositive constructions restrict reference by configuration.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nonetheless, our coreference system, despite being relatively simple and having no tunable parameters or complexity beyond the non-reference complexity of its component modules, manages to outperform state-of-the-art unsupervised coreference resolution and be broadly comparable to state-of-the-art supervised systems.</S><S sid = NA ssid = NA>A common error arose from the use of mention head distance as a poor proxy for discourse salience.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All systems except Haghighi and Klein (2009) and current work are fully supervised.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This procedure is trivial where most systems are rich, and so does not need any supervised coreference data.</S><S sid = NA ssid = NA>Despite its simplicity and discourse naivete, our system substantially outperforms all unsupervised systems and most supervised ones.</S> | Discourse Facet:  NA | Annotator: Automatic


