Citance Number: 1 | Reference Article:  W06-3114.txt | Citing Article:  W06-3120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The official results were slightly better because a lowercase evaluation was used, see (Koehn and Monz, 2006).</S> | Reference Offset:  ['35','57'] | Reference Text:  <S sid = 35 ssid = >For the automatic evaluation, we used BLEU, since it is the most established metric in the field.</S><S sid = 57 ssid = >We are therefore applying a different method, which has been used at the 2005 DARPA/NIST evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W06-3114.txt | Citing Article:  D07-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We are further focusing on the shared task of the workshop on Statistical Machine Translation, which took place last year (Koehn and Monz, 2006) and consisted in translating Spanish, German, and French texts from and to English.</S> | Reference Offset:  ['6','8'] | Reference Text:  <S sid = 6 ssid = >English was again paired with German, French, and Spanish.</S><S sid = 8 ssid = >The evaluation framework for the shared task is similar to the one used in last year’s shared task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W06-3114.txt | Citing Article:  C08-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our training and test data we used the English-French subset of the Europarl corpus provided for the shared task (Koehn and Monz, 2006) at the Statistical Machine Translation workshop held in conjunction with the 2006 HLT-NAACL conference.</S> | Reference Offset:  ['8','9'] | Reference Text:  <S sid = 8 ssid = >The evaluation framework for the shared task is similar to the one used in last year’s shared task.</S><S sid = 9 ssid = >Training and testing is based on the Europarl corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W06-3114.txt | Citing Article:  W07-0718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results of last year's workshop further suggested that Bleu systematically underestimated the quality of rule-based machine translation systems (Koehn and Monz, 2006).</S> | Reference Offset:  ['90','171'] | Reference Text:  <S sid = 90 ssid = >Another way to view the judgements is that they are less quality judgements of machine translation systems per se, but rankings of machine translation systems.</S><S sid = 171 ssid = >While many systems had similar performance, the results offer interesting insights, especially about the relative performance of statistical and rule-based systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W06-3114.txt | Citing Article:  P07-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the bitext-based annotation, we use publicly available word alignments from the Europarl corpus, automatically generated by GIZA++ for FrenchEnglish (Fr), Spanish-English (Es) and German-English (De) (Koehn and Monz, 2006).</S> | Reference Offset:  ['5','6'] | Reference Text:  <S sid = 5 ssid = >• We evaluated translation from English, in addition to into English.</S><S sid = 6 ssid = >English was again paired with German, French, and Spanish.</S> | Discourse Facet:  NA | Annotator: Automatic


