Citance Number: 1 | Reference Article:  H05-1115.txt | Citing Article:  P09-1083.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  Topic-sensitive LexRank (Otterbacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  H05-1115.txt | Citing Article:  P09-1083.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 ... Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  The weight ow ij is 1 if the sentence v i contains word o j , otherwise 0. E st denotes the relationship between sentence and topic word. Its weight tw ij is calculated by tf idf (Otterbacher et al., 2005) ... (Otterbacher et al., 2005) | Reference Offset:  ['56'] | Reference Text:  In topic-sensitive LexRank, we rst stem all of the sentences in a set of articles and compute word IDFs by the following formula: | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  H05-1115.txt | Citing Article:  N06-1027.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  sentence retrieval for question answering (Otterbacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  H05-1115.txt | Citing Article:  C08-1062.txt | Citation Marker Offset:  [] | Citation Marker:  OtterBacher et al., 2005 | Citation Offset:  [] | Citation Text:  For example, a topic-sensitive version of PageRank was proposed in (OtterBacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  H05-1115.txt | Citing Article:  C08-1062.txt | Citation Marker Offset:  [] | Citation Marker:  OtterBacher et al., 2005 | Citation Offset:  [] | Citation Text:  These algorithms are all based on the query-sensitive LexRank (OtterBacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 6 | Reference Article:  H05-1115.txt | Citing Article:  C10-2049.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  Component relevance scores are calculated using Term Frequency  Inverse Sentence Frequency (TFISF) (Otterbacher et al.,2005): | Reference Offset:  ['56'] | Reference Text:  where N is the total number of sentences in the cluster, and sf w is the number of sentences that the word w appears in | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


