Citance Number: 1 | Reference Article:  P05-1010.txt | Citing Article:  W05-1512.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Matsuzaki et al (2005) independently introduce a similar approach and present empirical results that rival ours.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Utsuro et al. (1996) proposed a method that automatically selects a proper level of generalization of non-terminal symbols of a PCFG, but they did not report the results of parsing with the obtained PCFG.</S><S sid = NA ssid = NA>It is in contrast with our approach where (approximated) posterior probability is optimized.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1010.txt | Citing Article:  P14-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It suggests that certain types of information used in those lexicalized 5Actually, the number of parses contained in the packed forest is more than 1 million for over half of the test sentences when = and , while the number of parses for which the first method can compute the exact probability in a comparable time (around 4 sec) is only about 300. parsers are hard to be learned by our approach.</S><S sid = NA ssid = NA>The first method simply limits the number of candidate parse trees compared in Eq.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1010.txt | Citing Article:  N10-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These scores are the same as the variational rule scores of Matsuzaki et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parsing performances were measured using F scores of the parse trees that were obtained by re-ranking of 1000-best parses by a PCFG.</S><S sid = NA ssid = NA>We use to denote the rule probability of rule and to denote the probability with which is generated as a root node.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1010.txt | Citing Article:  W06-1638.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It suggests that certain types of information used in those lexicalized 5Actually, the number of parses contained in the packed forest is more than 1 million for over half of the test sentences when = and , while the number of parses for which the first method can compute the exact probability in a comparable time (around 4 sec) is only about 300. parsers are hard to be learned by our approach.</S><S sid = NA ssid = NA>The first method simply limits the number of candidate parse trees compared in Eq.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1010.txt | Citing Article:  W06-1638.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Matsuzaki et al (2005) introduced a model for such learning: PCFG-LA.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>PCFG-LA is a generative probabilistic model of parse trees.</S><S sid = NA ssid = NA>This paper defines a generative model of parse trees that we call PCFG with latent annotations (PCFG-LA).</S> | Discourse Facet:  NA | Annotator: Automatic


