Citance Number: 1 | Reference Article:  P07-1055.txt | Citing Article:  D12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the best-performing model that fuses HCRF-Coarse and the supervised model (McDonald et al2007) by interpolation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is achieved by using k-best Viterbi techniques to return the k-best global labelings for each document label in line 3.</S><S sid = NA ssid = NA>The current work means any model of fine-to-coarse analysis should differs from that in Pang and Lee through the use of account for this. a single joint structured model for both sentence and In Section 2 we describe a simple structured document level analysis. model that jointly learns and infers sentiment on dif- Many problems in natural language processing ferent levels of granularity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1055.txt | Citing Article:  C10-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McDonald et al (2007) also dealt with sentiment analysis, via the global joint-structural approach.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The simplest approach to fine-to-coarse sentiment analysis would be to create a separate system for each level of granularity.</S><S sid = NA ssid = NA>In this domain, hard’s parsing (Taskar et al., 2004; McDonald et al., 2005), sentiment can only be determined in context (i.e., machine translation (Liang et al., 2006) and summahard to assemble versus a hard workout).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1055.txt | Citing Article:  P09-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, McDonald et al (2007) have investigated a model for jointly performing sentence and document-level sentiment analysis, allowing the relationship between the two tasks to be captured and exploited.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Figure 1 presents a model for jointly classifying the sentiment of both the sentences and the document.</S><S sid = NA ssid = NA>Sentence level analysis is dependent on neighbouring sentences as well as the paragraph level analysis, and the paragraph analysis is dependent on each of the sentences within it, the neighbouring paragraphs, and the document level analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1055.txt | Citing Article:  N10-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The data used in our initial English-only experiments were a set of 554 consumer reviews described in (McDonald et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The model described in Section 2 will be called Joint-Structured.</S><S sid = NA ssid = NA>Of the original 600 reviews that were gathered, we discarded duplicate reviews, reviews with insufficient text, and spam.</S> | Discourse Facet:  NA | Annotator: Automatic


