Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,A00-2030,W01-0510,0,"Miller et al., 2000",0,"Section 5 compares our approach tooth ers in the literature, in particular that of (Miller et al., 2000)","Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000)","['68', '79', '82', '102', '56']","<S sid =""68"" ssid = ""9"">The next steps are to generate in order: In this case  there are none.</S><S sid =""79"" ssid = ""1"">Maximum likelihood estimates for the model probabilities can be obtained by observing frequencies in the training corpus.</S><S sid =""82"" ssid = ""1"">Given a sentence to be analyzed  the search program must find the most likely semantic and syntactic interpretation.</S><S sid =""102"" ssid = ""7"">The results are summarized in Table 2.</S><S sid =""56"" ssid = ""2"">For example  in the phrase &quot;Lt. Cmdr.</S>",['Implication_Citation']
2,A00-2030,W01-0510,0,"Miller et al, 2000",0,"The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major di erences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","The basic approach we described is very similar to the one presented in (Miller et al, 2000) however there are a few major differences:  in our approach the augmentation of the syn tactic tags with semantic tags is straightforward due to the fact that the semantic constituents are matched exactly 5. The approach in (Miller","['65', '96', '23', '88', '9']","<S sid =""65"" ssid = ""6"">We illustrate the generation process by walking through a few of the steps of the parse shown in Figure 3.</S><S sid =""96"" ssid = ""1"">Our system for MUC-7 consisted of the sentential model described in this paper  coupled with a simple probability model for cross-sentence merging.</S><S sid =""23"" ssid = ""6"">An integrated model can limit the propagation of errors by making all decisions jointly.</S><S sid =""88"" ssid = ""7"">For purposes of pruning  and only for purposes of pruning  the prior probability of each constituent category is multiplied by the generative probability of that constituent (Goodman  1997).</S><S sid =""9"" ssid = ""7"">Manually creating sourcespecific training data for syntax was not required.</S>",['Implication_Citation']
3,A00-2030,W01-0510,0,"Miller et al, 2000",0,"The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)","['88', '68', '36', '6', '96']","<S sid =""88"" ssid = ""7"">For purposes of pruning  and only for purposes of pruning  the prior probability of each constituent category is multiplied by the generative probability of that constituent (Goodman  1997).</S><S sid =""68"" ssid = ""9"">The next steps are to generate in order: In this case  there are none.</S><S sid =""36"" ssid = ""4"">The five key facts in this example are: Here  each &quot;reportable&quot; name or description is identified by a &quot;-r&quot; suffix attached to its semantic label.</S><S sid =""6"" ssid = ""4"">In this paper  we report adapting a lexicalized  probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S><S sid =""96"" ssid = ""1"">Our system for MUC-7 consisted of the sentential model described in this paper  coupled with a simple probability model for cross-sentence merging.</S>",['Results_Citation']
4,A00-2030,W01-0510,0,"Miller et al, 2000",0,"One possibly bene cial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","One possibly beneficial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level","['60', '62', '13', '36', '105']","<S sid =""60"" ssid = ""1"">In our statistical model  trees are generated according to a process similar to that described in (Collins 1996  1997).</S><S sid =""62"" ssid = ""3"">For each constituent  the head is generated first  followed by the modifiers  which are generated from the head outward.</S><S sid =""13"" ssid = ""3"">For each organization in an article  one must identify all of its names as used in the article  its type (corporation  government  or other)  and any significant description of it.</S><S sid =""36"" ssid = ""4"">The five key facts in this example are: Here  each &quot;reportable&quot; name or description is identified by a &quot;-r&quot; suffix attached to its semantic label.</S><S sid =""105"" ssid = ""2"">A single model proved capable of performing all necessary sentential processing  both syntactic and semantic.</S>",['Method_Citation']
5,A00-2030,W01-0510,0,"Miller et al, 2000",0,"Similar to the approach in (Miller et al, 2000 )weinitialized the SLM statistics from the UPenn Tree bank parse trees (about 1Mwds of training data) at the rst training stage, see Section 3","Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees","['38', '47', '73', '97', '80']","<S sid =""38"" ssid = ""6"">Other labels indicate relations among entities.</S><S sid =""47"" ssid = ""7"">It soon became painfully obvious that this task could not be performed in the available time.</S><S sid =""73"" ssid = ""14"">We now briefly summarize the probability structure of the model.</S><S sid =""97"" ssid = ""2"">The evaluation results are summarized in Table 1.</S><S sid =""80"" ssid = ""2"">However  because these estimates are too sparse to be relied upon  we use interpolated estimates consisting of mixtures of successively lowerorder estimates (as in Placeway et al. 1993).</S>",['Method_Citation']
6,A00-2030,P14-1078,0,"Miller et al, 2000",0,"Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns","['79', '15', '45', '88', '56']","<S sid =""79"" ssid = ""1"">Maximum likelihood estimates for the model probabilities can be obtained by observing frequencies in the training corpus.</S><S sid =""15"" ssid = ""5"">For each location  one must also give its type (city  province  county  body of water  etc.).</S><S sid =""45"" ssid = ""5"">The retrieved articles would then be annotated with augmented tree structures to serve as a training corpus.</S><S sid =""88"" ssid = ""7"">For purposes of pruning  and only for purposes of pruning  the prior probability of each constituent category is multiplied by the generative probability of that constituent (Goodman  1997).</S><S sid =""56"" ssid = ""2"">For example  in the phrase &quot;Lt. Cmdr.</S>",['Method_Citation']
7,A00-2030,P05-1061,0,2000,0,"One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations","['49', '70', '69', '95', '111']","<S sid =""49"" ssid = ""9"">By necessity  we adopted the strategy of hand marking only the semantics.</S><S sid =""70"" ssid = ""11"">Post-modifier constituents for the PER/NP.</S><S sid =""69"" ssid = ""10"">8.</S><S sid =""95"" ssid = ""14"">The semantics — that is  the entities and relations — can then be directly extracted from these sentential trees.</S><S sid =""111"" ssid = ""3"">The views and conclusions contained in this document are those of the authors and should not be interpreted as necessarily representing the official policies  either expressed or implied  of the Defense Advanced Research Projects Agency or the United States Government.</S>",['Method_Citation']
8,A00-2030,P05-1053,0,2000,0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees","['23', '79', '4', '82', '67']","<S sid =""23"" ssid = ""6"">An integrated model can limit the propagation of errors by making all decisions jointly.</S><S sid =""79"" ssid = ""1"">Maximum likelihood estimates for the model probabilities can be obtained by observing frequencies in the training corpus.</S><S sid =""4"" ssid = ""2"">Yet  relatively few have embedded one of these algorithms in a task.</S><S sid =""82"" ssid = ""1"">Given a sentence to be analyzed  the search program must find the most likely semantic and syntactic interpretation.</S><S sid =""67"" ssid = ""8"">We pick up the derivation just after the topmost S and its head word  said  have been produced.</S>",['Method_Citation']
9,A00-2030,P05-1053,0,2000,0,"Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model","['20', '31', '0', '38', '84']","<S sid =""20"" ssid = ""3"">However  pipelined architectures suffer from a serious disadvantage: errors accumulate as they propagate through the pipeline.</S><S sid =""31"" ssid = ""14"">If the single generalized model could then be extended to semantic analysis  all necessary sentence level processing would be contained in that model.</S><S sid =""0"" ssid = ""0"">A Novel Use of Statistical Parsing to Extract Information from Text</S><S sid =""38"" ssid = ""6"">Other labels indicate relations among entities.</S><S sid =""84"" ssid = ""3"">Although mathematically the model predicts tree elements in a top-down fashion  we search the space bottom-up using a chartbased search.</S>",['Method_Citation']
10,A00-2030,H05-1094,0,2000,0,"(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable","['88', '38', '107', '104', '23']","<S sid =""88"" ssid = ""7"">For purposes of pruning  and only for purposes of pruning  the prior probability of each constituent category is multiplied by the generative probability of that constituent (Goodman  1997).</S><S sid =""38"" ssid = ""6"">Other labels indicate relations among entities.</S><S sid =""107"" ssid = ""4"">The semantic training corpus was produced by students according to a simple set of guidelines.</S><S sid =""104"" ssid = ""1"">We have demonstrated  at least for one problem  that a lexicalized  probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S><S sid =""23"" ssid = ""6"">An integrated model can limit the propagation of errors by making all decisions jointly.</S>",['Implication_Citation']
