Citance Number: 1 | Reference Article:  P06-1066.txt | Citing Article:  W07-0706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also ran a phrase-based system (PB) with a distortion reordering model (Xiong et al, 2006) on the same corpus.</S> | Reference Offset:  ['15','205'] | Reference Text:  <S sid = 15 ssid = >In view of content-independency of the distortion and flat reordering models, several researchers (Och et al., 2004; Tillmann, 2004; Kumar et al., 2005; Koehn et al., 2005) proposed a more powerful model called lexicalized reordering model that is phrase dependent.</S><S sid = 205 ssid = >On the contrary, the MaxEnt-based reordering model is not limited by this constraint since it is based on features of phrase, not phrase itself.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1066.txt | Citing Article:  P11-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some methods have been proposed to improve the reordering model for SMT based on the collocated words crossing the neighboring components (Xiong et al, 2006).</S> | Reference Offset:  ['15','63'] | Reference Text:  <S sid = 15 ssid = >In view of content-independency of the distortion and flat reordering models, several researchers (Och et al., 2004; Tillmann, 2004; Kumar et al., 2005; Koehn et al., 2005) proposed a more powerful model called lexicalized reordering model that is phrase dependent.</S><S sid = 63 ssid = >The last one is the maximum entropy based reordering model proposed by us, which will be described in the next section.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1066.txt | Citing Article:  P11-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, a few models employed the collocation information to improve the performance of the ITG constraints (Xiong et al, 2006).</S> | Reference Offset:  ['185','218'] | Reference Text:  <S sid = 185 ssid = >The flat and distortion reordering models (Row 3 and 4) show similar performance with Pharaoh.</S><S sid = 218 ssid = >It can be said that their decoder did not violate the ITG constraints but not that it observed the ITG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1066.txt | Citing Article:  D12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As the first step in this line of research, we explore the usage of FDT-based model training method in a phrase-based SMT system (Xiong et al 2006), which employs Bracketing Transduction Grammar (BTG) (Wu, 1997) to parse parallel sentences.</S> | Reference Offset:  ['5','31'] | Reference Text:  <S sid = 5 ssid = >Phrase reordering is of great importance for phrase-based SMT systems and becoming an active area of research recently.</S><S sid = 31 ssid = >Following the Bracketing Transduction Grammar (BTG) (Wu, 1996), we built a CKY-style decoder for our system, which makes it possible to reorder phrases hierarchically.</S> | Discourse Facet:  NA | Annotator: Automatic


