Citance Number: 1 | Reference Article:  X96-1048.txt | Citing Article:  A97-1028-parscit-section.txt | Citation Marker Offset:  1751-1759 | Citation Marker:  Sundheim ... 1995b | Citation Offset:  1596-1767 | Citation Text:  Named Entity evaluation began as a part of recent Message Understanding Conferences (MUC), whose objective was to standardize the evaluation of IE tasks (Sundheim, 1995b). | Reference Offset: ['67499-67851'] | Reference Text:  Individual thanks go to Ralph Grishman of NYU for serving as program co- chair, to Nancy Chinchor for her critical efforts on virtually all aspects of MUC-6, and to the other members of the program committee, which included Chinatsu Aone of SRA Corp., Lois Childs of Lockheed Martin Corp., Jerry Hobbs of SRI International, Boyan Onyshkevych of the U.S | Discourse Facet: Implication_Citation |  Annotator:  a |
Citance Number: 2 | Reference Article:  X96-1048.txt | Citing Article:  E12-2021-parscit-section.txt | Citation Marker Offset:  6531-6539 | Citation Marker:  Sundheim ... 1996 | Citation Offset:  6185-6547 | Citation Text:  These base annotations can be connected by binary relations  either directed or undirected  which can be congured for e.g. simple relation extraction, or verb frame annotation (Figure 1 middle and bottom). n-ary associations of annotations are also supported, allowing the annotation of event structures such as those targeted in the MUC (Sundheim, 1996), | Reference Offset: ['10169-10236', '10238-10489'] | Reference Text:  This test measures the amount of variability between the annotators...When the outputs are scored in "key-to-response" mode, as though one annotator's output represented the "key" and the other the "response," the humans achieved an overall F-measure of 96.68 and a corresponding error per response fill (ERR) score of 6% | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 3 | Reference Article:  X96-1048.txt | Citing Article:  J00-4003-parscit-section.txt | Citation Marker Offset:  60061-60236 | Citation Marker:  Sundheim 1995 | Citation Offset:  59813-59902 | Citation Text:  This so-called named entity recognition task has received considerable attention recently ... and was one of the tasks evaluated in the Sixth and Seventh Message Understanding Conferences. In MUC-6, 15 different systems participated in the competition (Sundheim 1995) | Reference Offset: ['436-539', '541-696'] | Reference Text:  Participants were invited to enter their systems in as many as four different task-oriented evaluations...The Named Entity and Coreference tasks entailed Standard Generalized Markup Language (SGML) annotation of texts and were being conducted for the first time | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 4 | Reference Article:  X96-1048.txt | Citing Article:  J00-4003-parscit-section.txt | Citation Marker Offset:  2890-3076 | Citation Marker:  Sundheim 1995 | Citation Offset:  60222-60235 | Citation Text:  As a result, quantitative evaluation is n o w commonplace in areas of language engineering such as parsing, and quantitative evaluation techniques are being p r o p o s e d for semantic ... interpretation as well, for example, at the Sixth and Seventh Message Understanding Conferences (MUC-6 and MUC-7) (Sundheim 1995; Chinchor 1997), which also included evaluations of systems on the so-called coreference task, a subtask of which is the resolution of definite descriptions. | Reference Offset: ['22869-22915'] | Reference Text:  Overall recall and precision on the CO task 2  | Discourse Facet: Aim_Citation |  Annotator:  a |
Citance Number: 5 | Reference Article:  X96-1048.txt | Citing Article:  J00-4003-parscit-section.txt | Citation Marker Offset:  4039-4052 | Citation Marker:  Sundheim 1995 | Citation Offset:  3922-4210 | Citation Text:  Previous attempts to annotate anaphoric relations had resulted in very low agreement levels; for example, in the coreference annotation experiments for MUC-6 (Sundheim 1995), relations other than ... identity were dropped due to difficulties in annotating them | Reference Offset: ['46784-47070'] | Reference Text:  The one-month limitation on development in preparation for MUC-6 would be difficult to factor into the computation, and even without that additional factor, the problem of coming up with a reasonable, objective way of measuring relative task difficulty has not been adequately addressed | Discourse Facet: Implication_Citation |  Annotator:  a |
Citance Number: 6 | Reference Article:  X96-1048.txt | Citing Article:  W97-1307-parscit-section.txt | Citation Marker Offset:  6659-6667 | Citation Marker:  Sundheim ... 1995 | Citation Offset:  6381-6674 | Citation Text:  This algorithm was first implemented for the MUC-6 FASTUS system (Appelt et al., 1995), and produced one of the top scores (a recall of 59% and precision of 72%) in the MUC-6 Coreference Task, which evaluated systems&apos; ability to recognize coreference among noun phrases (Sundheim, 1995) | Reference Offset: ['22869-22915', '23065-23098'] | Reference Text:  Overall recall and precision on the CO task 2 ...range and 62%-72% precision range | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 7 | Reference Article:  X96-1048.txt | Citing Article:  P06-1059-parscit-section.txt | Citation Marker Offset:  2863-2871 | Citation Marker:  Sundheim ... 1995 | Citation Offset:  2703-2878 | Citation Text:  whereas the best performance at MUC-6, in which systems tried to identify general named entities such as person or organization names, was an accuracy of 95% (Sundheim, 1995). | Reference Offset: ['13213-13329'] | Reference Text:  Organization names are varied in their form, consisting of proper nouns, general vocabulary, or a mixture of the two | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 8 | Reference Article:  X96-1048.txt | Citing Article:  C04-1126-parscit-section.txt | Citation Marker Offset:  8986-8994 | Citation Marker:  Sundheim ... 1995 | Citation Offset:  8799-9200 | Citation Text:  The MUC organisers provided strict guidelines about what constituted a succession event and how the templates should be lled which the annotators sometimes found dicult to interpret (Sundheim, 1995). Interannotator agreement was measured on 30 texts which were examined by two annotators. It was found to be 83% when one annotators templates were assumed to be correct and compared with the other | Reference Offset: ['46367-46458'] | Reference Text:  Text filtering recall and precision for scenario test sets with approximately 50% richness  | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 9 | Reference Article:  X96-1048.txt | Citing Article:  C04-1126-parscit-section.txt | Citation Marker Offset:  5934-6185 | Citation Marker:  Sundheim ... 1995 | Citation Offset:  8996-9000 | Citation Text:  The test corpus consists of 100 Wall Street Journal documents from the period January 1993 to June 1994, 54 of which contained management succession events (Sundheim, 1995). The format used to represent events in the MUC-6 corpus is now described. | Reference Offset: ['4722-4869', '4871-5205'] | Reference Text:  The articles used in the evaluation were drawn from a corpus of approximately 58,000 articles spanning the period of January 1993 through June 1994...This period comprised the "evaluation epoch." As a condition for participation in the evaluation, the sites agreed not to seek out and exploit Wall Street Journal articles from that epoch once the training phase of the evaluation had begun, i.e., once the scenario for the Scenario Template task had been disclosed to the participants | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 11 | Reference Article:  X96-1048.txt | Citing Article:  E99-1001-parscit-section.txt | Citation Marker Offset:  3463-3740 | Citation Marker: Sundheim 1995: 16 | Citation Offset:  3722-3739 | Citation Text:  In an articleon the Named Entity recognition competition (part of MUC-6) Sundheim (1995) remarks that &quot;common organization names, first names of people and location names can be handled by recourse to list lookup, although there are drawbacks&quot; (Sundheim 1995: 16) | Reference Offset: ['62845-63076'] | Reference Text:  Some of the shortfall in performance on the ORGANIZATION object is due to inadequate discourse processing, which is needed in order to get some of the non-local instances of the ORG_DESCRIPTOR, ORG LOCALE and ORG_COUNTRY slot fills | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 12 | Reference Article:  X96-1048.txt | Citing Article:  M98-1003-parscit-section.txt | Citation Marker Offset:  2349-2362 | Citation Marker:  Sundheim 1995 | Citation Offset:  2076-2363 | Citation Text:  The organizers of MUC-6 did not attempt to compare the difficulty of the MUC-6 task to the previous MUC tasks saying that &amp;quot;the problem of coming up with a reasonable, objective way of measuring relative task difficulty has not been adequately addressed&amp;quot; [Sundheim 1995] | Reference Offset: ['13850-13904'] | Reference Text:   Distribution of NE tag elements in test set  Figure 2 | Discourse Facet: Aim_Citation |  Annotator:  a |
