Citance Number: 1 | Reference Article:  J98-2005.txt | Citing Article:  P06-1109-parscit-section.txt | Citation Marker Offset:  24466-24484 | Citation Marker:  Chi and Geman 1998 | Citation Offset:  24373-24464 | Citation Text:  a treebank PCFG whose simple relative frequency estimator corresponds to maximum likelihood | Reference Offset: ['5433-5609'] | Reference Text:  More generally, let G -- (V, T, R, S) denote a context-free grammar with finite variable set V, start symbol S E V, finite terminal set T, and finite production (or rule) set R | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 2 | Reference Article:  J98-2005.txt | Citing Article:  N06-1043-parscit-section.txt | Citation Marker Offset:  13003-13075 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  12922-12980 | Citation Text:  The line of our argument below follows a proof provided in ... for the maximum likelihood estimator based on nite tree distributions | Reference Offset: ['5433-5609'] | Reference Text:  More generally, let G -- (V, T, R, S) denote a context-free grammar with finite variable set V, start symbol S E V, finite terminal set T, and finite production (or rule) set R | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 3 | Reference Article:  J98-2005.txt | Citing Article:  N06-1043-parscit-section.txt | Citation Marker Offset:  21080-21138 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  12982-13001 | Citation Text:  Such maximization provides the estimator (see for instance | Reference Offset: ['11912-12051', '12102-12132'] | Reference Text:  Given oz E (V U T)*, let nA(cZ)be the number of instances of A in the string o~, and, finally, let ai be the ith component of the string o~...oti=B{Olifails to terminate})  | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 4 | Reference Article:  J98-2005.txt | Citing Article:  N06-1043-parscit-section.txt | Citation Marker Offset:  22271-22308 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  21140-21159 | Citation Text:  This result has been rstly shown in | Reference Offset: ['3366-3388'] | Reference Text:  (Wetherell and others  | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 5 | Reference Article:  J98-2005.txt | Citing Article:  J01-2004-parscit-section.txt | Citation Marker Offset:  14806-14832 | Citation Marker:  Chi a n d G e m a n  (1998) | Citation Offset:  14833-14944 | Citation Text:  p r o v e d that a n y PCFG e s t i m a t e d from a treebank w i t h the relative frequency estimator is tight | Reference Offset: ['2325-2678', '3300-3364'] | Reference Text:  Is it tight? If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight...corpus, and it is conjectured that the resulting system is tight | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 6 | Reference Article:  J98-2005.txt | Citing Article:  N03-1027-parscit-section.txt | Citation Marker Offset:  10861-10881 | Citation Marker:  Chi and Geman (1998) | Citation Offset:  10882-11007 | Citation Text:  proved that this condition is met if the rule probabilities are estimated using relative frequency estimation from a corpus | Reference Offset: ['364-529'] | Reference Text:  Production probabilities can be estimated from parsed or unparsed sentences, and the question arises as to whether or not an estimated system is automatically proper | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 7 | Reference Article:  J98-2005.txt | Citing Article:  J98-4004-parscit-section.txt | Citation Marker Offset:  8672-8690 | Citation Marker:  Chi and Geman  1998 | Citation Offset:  8518-8670 | Citation Text:  and a consistency or tightness constraint not discussed here, that PCFGs estimated from tree banks using the relative frequency estimator always satisfy | Reference Offset: ['-1-62', '5403-5433'] | Reference Text:  Thus, ~ is again less than ?and the distribution is again tight...Maximum-Likelihood Estimation  | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 8 | Reference Article:  J98-2005.txt | Citing Article:  P01-1017-parscit-section.txt | Citation Marker Offset:  15028-15029 | Citation Marker:  5 | Citation Offset:  14846-15026 | Citation Text:  When a PCFG probability distribution is estimated from training data (in our case the Penn tree-bank) PCFGs dene a tight (summing to one) probability distribution over strings | Reference Offset: ['635-782'] | Reference Text:  Context-free grammars (CFG's) are useful because of their relatively broad coverage and because of the availability of efficient parsing algorithms | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 9 | Reference Article:  J98-2005.txt | Citing Article:  N06-1044-parscit-section.txt | Citation Marker Offset:  2963-2982 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  2985-3052 | Citation Text:  the result was independently extended to expectation maximization | Reference Offset: ['10688-10890'] | Reference Text:  The right-hand side of (5) is computed us-ing the expectedfrequencies under j~,; pn+l is then the maximum-likelihood estimator, treating the expected frequencies as though they were observed frequencies | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 10 | Reference Article:  J98-2005.txt | Citing Article:  N06-1044-parscit-section.txt | Citation Marker Offset:  3368-3407 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  3331-3344 | Citation Text:  the proof in  ... is based on a simpler counting argument | Reference Offset: ['2157-2323', '2325-2678'] | Reference Text:  For example, there is a simple maximum-likelihood prescription for estimating the production probabilities from a corpus of trees (see Section 2), resulting in a PCFG...Is it tight? If the corpus is unparsed then there is an iterative approach to maximum-likelihood estimation (the EM or Baum-Welsh algorithm--again, see Section 2) and the same question arises: do we get actual probabilities or do the estimated PCFG's assign some mass to infinite trees? We will show that in both cases the estimated probability is tight | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 11 | Reference Article:  J98-2005.txt | Citing Article:  N06-1044-parscit-section.txt | Citation Marker Offset:  3508-3511 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  3345-3366 | Citation Text:  in  ... empty rules and unary rules are not allowed, thus excluding innite ambiguity, that is, the possibility that some string in the input sample has an innite number of derivations in the grammar | Reference Offset: ['11308-11382'] | Reference Text:  Finally, let ~ be the maximum-likelihood estimator of p, as defined by (3) | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 12 | Reference Article:  J98-2005.txt | Citing Article:  N06-1044-parscit-section.txt | Citation Marker Offset:  3512-3531 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  3533-3727 | Citation Text:  The maximization problem above has a unique solution, provided by the estimator | Reference Offset: ['9938-9995'] | Reference Text:  Define a sequence of probabilities, ~n, by the iteration  | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 13 | Reference Article:  J98-2005.txt | Citing Article:  N06-1044-parscit-section.txt | Citation Marker Offset:  9737-9756 | Citation Marker:  Chi and Geman, 1998 | Citation Offset:  9636-9717 | Citation Text:  The above maximization problem provides a system of R nonlinear equations | Reference Offset: ['10688-10890'] | Reference Text:  The right-hand side of (5) is computed us-ing the expectedfrequencies under j~,; pn+l is then the maximum-likelihood estimator, treating the expected frequencies as though they were observed frequencies | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 14 | Reference Article:  J98-2005.txt | Citing Article:  N06-1044-parscit-section.txt | Citation Marker Offset:  10707-10726 | Citation Marker:  Chi and Geman,  1998 | Citation Offset:  10623-10700 | Citation Text:  This solves a problem  that was left open in the literature | Reference Offset: ['5083-5194', '5196-5333'] | Reference Text:  Y(wn) are available, the EM algorithm can be used to iteratively "climb" the likelihood surface (see Section 2)...In the simple example here, the estimator converges in one step and is the same ~ as if we had observed the entire parse tree for each wi | Discourse Facet: Result_Citation |  Annotator:  a |
Citance Number: 15 | Reference Article:  J98-2005.txt | Citing Article:  J99-1004-parscit-section.txt | Citation Marker Offset:  4640-4876 | Citation Marker:  Chi and Geman (1998) | Citation Offset:  4553-4618 | Citation Text:  A sufficient condition for proper assignment is established by  ... who prove that production probabilities estimated by the maximum-likelihood (ML) estimation procedure (or relative frequency estimation procedure, as it is called in computational linguistics) always impose proper PCFG distributions | Reference Offset: ['635-782'] | Reference Text:  Context-free grammars (CFG's) are useful because of their relatively broad coverage and because of the availability of efficient parsing algorithms | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 16 | Reference Article:  J98-2005.txt | Citing Article:  J99-1004-parscit-section.txt | Citation Marker Offset:  13682-13773 | Citation Marker:  Chi and Geman (1998) | Citation Offset:  4618-4638 | Citation Text:  proved the properness of PCFG distributions imposed by esti-  mated production probabilities | Reference Offset: ['635-782'] | Reference Text:  Context-free grammars (CFG's) are useful because of their relatively broad coverage and because of the availability of efficient parsing algorithms | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 17 | Reference Article:  J98-2005.txt | Citing Article:  J99-1004-parscit-section.txt | Citation Marker Offset:  25299-25338 | Citation Marker:  Chi and Geman (1998) | Citation Offset:  13661-13681 | Citation Text:  This simple estimator, as s h o w n b y ... assigns proper production probabilities for PCFGs | Reference Offset: ['635-782'] | Reference Text:  Context-free grammars (CFG's) are useful because of their relatively broad coverage and because of the availability of efficient parsing algorithms | Discourse Facet: Method_Citation |  Annotator:  a |
Citance Number: 18 | Reference Article:  J98-2005.txt | Citing Article:  P13-1102-parscit-section.txt | Citation Marker Offset:  4202-4295 | Citation Marker:  Chi and Geman (1998) | Citation Offset:  4171-4180 | Citation Text:  we follow ... in calling them non-tight to avoid confusion with the consistency of statistical estimators | Reference Offset: ['5763-5869'] | Reference Text:  In the usual way, probabilities are introduced through the productions: P : R --~ [0,1] such that VA E V:  | Discourse Facet: Method_Citation |  Annotator:  a |
