Citance Number: 1 | Reference Article:  N03-1020.txt | Citing Article:  W03-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a recent study (Lin and Hovy, 2003a), we showed that the recall-based unigram co occurrence automatic scoring metric correlates highly with human evaluation and has high recall and precision in predicting the statistical significance of results comparing with its human counter part.</S> | Reference Offset:  ['78','137'] | Reference Text:  <S sid = 78 ssid = >However, BLEU is a precision-based metric while the human evaluation protocol in DUC is essentially recall-based.</S><S sid = 137 ssid = >It consistently correlated highly with human assessments and had high recall and precision in significance test with manual evaluation results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-1020.txt | Citing Article:  P14-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Summarization evaluation is done using ROUGE-2 (R-2) (Lin and Hovy, 2003).</S> | Reference Offset:  ['0','48'] | Reference Text:  <S sid = 0 ssid = >Automatic Evaluation Of Summaries Using N-Gram Co-Occurrence Statistics</S><S sid = 48 ssid = >The resulting Spearman rank order correlation coefficient (ρ) between BLEU and the human assessment for the single document task is 0.66 using one reference summary and 0.82 using three reference summaries; while Spearman ρ for the multidocument task is 0.67 using one reference and 0.70 using three.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-1020.txt | Citing Article:  N04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >it has been widely used since and has even been adapted for summarization (Lin and Hovy, 2003).</S> | Reference Offset:  ['9','28'] | Reference Text:  <S sid = 9 ssid = >For example, Lin and Hovy (2002) pointed out that 18% of the data contained multiple judgments in the DUC 2001 single document evaluation1.</S><S sid = 28 ssid = >They used the Summary Evaluation Environment (SEE) 2.0 developed by (Lin 2001) to support the process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-1020.txt | Citing Article:  N04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin and Hovy (2003) have shown that a unigram co-occurrence statistic, computed with stop words ignored, between a summary and a set of models can be used to assign scores for a test suite that highly correlates with the scores assigned by human evaluators at DUC.</S> | Reference Offset:  ['80','108'] | Reference Text:  <S sid = 80 ssid = >Using DUC 2001 data, we compute average Ngram(1,4) scores for each peer system at different summary sizes and rank systems according to their scores.</S><S sid = 108 ssid = >(2) The performance of weighted average n-gram scores is in the range between bi-gram and tri-gram co-occurrence scores.</S> | Discourse Facet:  NA | Annotator: Automatic


