Citance Number: 1 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When compared against current state of-the-art methods (Zhu et al, 2010) our model yields significantly simpler output that is both grammatical and meaning preserving.</S> | Reference Offset:  ['233','238'] | Reference Text:  <S sid = 233 ssid = >The first is Moses which is a state of the art SMT system widely used as a baseline in MT community.</S><S sid = 238 ssid = >In our third baseline system, we substitute the words in the output of the compression system with their simpler synonyms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Zhu et al (2010) also use Wikipedia to learn a sentence simplification model which is able to perform four rewrite operations, namely substitution, reordering, splitting, and deletion.</S> | Reference Offset:  ['15','62'] | Reference Text:  <S sid = 15 ssid = >Splitting, dropping, reordering, and substitution are widely accepted as important simplification operations.</S><S sid = 62 ssid = >We apply the following simplification operations to the parse tree of a complex sentence: splitting, 1354dropping, reordering and substitution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast to Yatskar et al (2010) and Zhu et al (2010), simplification operations (e.g., substitution or splitting) are not modeled explicitly; instead, we leave it up to our grammar extraction algorithm to learn appropriate rules that reflect the training data.</S> | Reference Offset:  ['7','13'] | Reference Text:  <S sid = 7 ssid = >Reading assistance is thus an important application of sentence simplification, espe cially for people with reading disabilities (Carrollet al, 1999; Inui et al, 2003), low-literacy read ers (Watanabe et al, 2009), or non-native speakers (Siddharthan, 2002).Not only human readers but also NLP applications can benefit from sentence simplification.</S><S sid = 13 ssid = >Sen tence simplification can therefore be classifiedinto two types: lexical simplification and syntac tic simplification (Carroll et al, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We evaluated our model on the same dataset used in Zhu et al (2010), an aligned corpus of MainEW and SimpleEW sentences.</S> | Reference Offset:  ['230','231'] | Reference Text:  <S sid = 230 ssid = >All the articles from the Simple Wikipedia are used as the training corpus, amounting to about 54 MB.</S><S sid = 231 ssid = >Our evaluation dataset consists of 100 complex sentences and 131 parallel simple sentences from PWKP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C10-1152.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, we refrained from doing so as Zhu et al (2010) show that Moses performs poorly, it can not model rewrite operations that split sentences or drop words and in most cases generates output identical.</S> | Reference Offset:  ['144','289'] | Reference Text:  <S sid = 144 ssid = >in the ?Drop?</S><S sid = 289 ssid = >But Moses mostly cannot split and drop.</S> | Discourse Facet:  NA | Annotator: Automatic


