Citance Number: 1 | Reference Article:  W08-2121.txt | Citing Article:  W09-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the successful approaches taken by the participants of the CoNLL-2008 shared task (Surdeanu et al, 2008) on monolingual syntactic and semantic dependency analysis, we designed and implemented our CoNLL-2009 SRL only system with pipeline architecture.</S> | Reference Offset:  ['0','216'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 216 ssid = >For example, Riedel and Meza-Ruiz (2008) perform predicate and argument identification and classification jointly, whereas Ciaramita et al. (2008) implemented a pipeline architecture of three components.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W08-2121.txt | Citing Article:  W09-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We chose to use maximum entropy algorithm in this step because of its success in the CoNLL-2008 shared task (Surdeanu et al, 2008).</S> | Reference Offset:  ['0','219'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 219 ssid = >(2008), who, within an ensemble-based architecture, implemented a joint syntactic-semantic model using MaltParser with labels enriched with semantic information; Lluis and M`arquez, who used a modified version of the Eisner algorithm to jointly predict syntactic and semantic dependencies; and finally, Sun et al. (2008), who integrated dependency label classification and argument identification using a maximum-entropy Markov model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W08-2121.txt | Citing Article:  C10-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our first attempt is to directly apply the state of-art SRL system (Meza-Ruiz and Riedel, 2009) that trained on the CoNLL 08 shared task dataset (Surdeanu et al, 2008), hereafter called SRL-BS, to news tweets.</S> | Reference Offset:  ['216','223'] | Reference Text:  <S sid = 216 ssid = >For example, Riedel and Meza-Ruiz (2008) perform predicate and argument identification and classification jointly, whereas Ciaramita et al. (2008) implemented a pipeline architecture of three components.</S><S sid = 223 ssid = >The system of Riedel and MezaRuiz (2008) deserves a special mention: even though Riedel and Meza-Ruiz did not implement a syntactic parser, they are the only group that performed the complete SRL subtask – i.e., predicate identification and classification, argument identification and classification – jointly, simultaneously for all the predicates in a sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W08-2121.txt | Citing Article:  W09-1321.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Domain-oriented semantic structures are valuable assets because their representation suits information needs in the domain; however, the extraction of such structures is difficult due to the large gap between the text and these structures. On the other hand, the extraction of linguistically oriented semantics from text has long been studied in computational linguistics, and has recently been formalized as Semantic Role Labeling (Gildea and Jurafsky, 2002), and semantic structure extraction (Baker et al, 2007) (Surdeanu et al, 2008).</S> | Reference Offset:  ['26','299'] | Reference Text:  <S sid = 26 ssid = >The same holds for columns 9 and above, which contain the syntactic and semantic dependency structures that the systems should predict.</S><S sid = 299 ssid = >• It was shown that the extraction of syntactic and semantic dependencies can be performed with state-of-the-art performance in linear time (Ciaramita et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic

