Citance Number: 1 | Reference Article:  P08-1090.txt | Citing Article:  N09-5001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chambers and Jurafsky (2008) extracted narrative event chains based on common protagonists.</S> | Reference Offset:  ['0','15'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning of Narrative Event Chains</S><S sid = 15 ssid = >Narrative chains are partially ordered sets of events centered around a common protagonist.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1090.txt | Citing Article:  W10-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These knowledge structures, comparable to scripts (Schank and Abelson, 1977) or narrative chains (Chambers and Jurafsky, 2008), describe typical sequences of events in a particular context. Given the number of potential scripts, their development by hand becomes a resource intensive process. In the past, some work has been devoted to automatically construct script-like structures from compiled corpora (Fujiki et al, 2003) (Chambers and Jurafsky, 2008).</S> | Reference Offset:  ['16','208'] | Reference Text:  <S sid = 16 ssid = >They are related to structured sequences of participants and events that have been called scripts (Schank and Abelson, 1977) or Fillmorean frames.</S><S sid = 208 ssid = >However, it is worthwhile to construct discrete narrative chains, if only to see whether the combination of event learning and ordering produce scriptlike structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1090.txt | Citing Article:  W10-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chambers and Jurafsky, 2008) attempt to identify narrative chains in newspaper corpora.</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning of Narrative Event Chains</S><S sid = 14 ssid = >This paper induces a new representation of structured knowledge called narrative event chains (or narrative chains).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1090.txt | Citing Article:  W10-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This virtue of discourse structure of coherent stories has been described in (Trabasso et al, 1984) and applied by (Fujiki et al, 2003) as subject and object overlap and by (Chambers and Jurafsky, 2008) as following a common protagonist in a story.</S> | Reference Offset:  ['63','143'] | Reference Text:  <S sid = 63 ssid = >We make the following assumption of narrative coherence: verbs sharing coreferring arguments are semantically connected by virtue of narrative discourse structure.</S><S sid = 143 ssid = >There are a number of algorithms for determining the temporal relationship between two events (Mani et al., 2006; Lapata and Lascarides, 2006; Chambers et al., 2007), many of them trained on the TimeBank Corpus (Pustejovsky et al., 2003) which codes events and their temporal relationships.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P08-1090.txt | Citing Article:  W10-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We utilize the definition of PMI described in (Chambers and Jurafsky, 2008).</S> | Reference Offset:  ['68','120'] | Reference Text:  <S sid = 68 ssid = >A narrative chain, by definition, includes a partial ordering of events.</S><S sid = 120 ssid = >The PMI is then defined as between all occurrences of two verbs in the same document.</S> | Discourse Facet:  NA | Annotator: Automatic

