Citance Number: 1 | Reference Article:  P92-1017.txt | Citing Article:  C92-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The latter property is important as we would like to be able to use bracketing information in the input corpus as in (Pereira and Schabes, 1992).</S> | Reference Offset:  ['14','43'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 43 ssid = >Note that there is no requirement that a bracketing of w describe fully a constituent structure of w. In fact, some or all sentences in a corpus may have empty bracketings, in which case the new algorithm behaves like the original one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P92-1017.txt | Citing Article:  C92-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the data given by Pereira and Schabes (1992) on raw text and compare with an inferred SLTAG.</S> | Reference Offset:  ['34','86'] | Reference Text:  <S sid = 34 ssid = >First, the the result grammars yield constituent boundaries that cannot be inferred from raw text.</S><S sid = 86 ssid = >We compare the bracketings assigned by grammars inferred from raw and from bracketed training material with the Penn Treebank bracketings of a separate test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P92-1017.txt | Citing Article:  C92-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As shown in Figure 2, the grannnar converges very rapidly to a lower value of the log probability than the stochastic ontext-free grammar eported by Pereira and Schabes (1992).</S> | Reference Offset:  ['4','14'] | Reference Text:  <S sid = 4 ssid = >The estimation of stochastic context-free grammars using the Insidealgorithm.</S><S sid = 14 ssid = >1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P92-1017.txt | Citing Article:  C92-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly to its context-free counterpart, the re-estimation algorithm can be extended to handle partially parsed corpora (Pereira and Schabes, 1992).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Inside-Outside Reestimation From Partially Bracketed Corpora</S><S sid = 4 ssid = >The estimation of stochastic context-free grammars using the Insidealgorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P92-1017.txt | Citing Article:  P14-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can be viewed as a variation of Pereira and Schabes (1992).</S> | Reference Offset:  ['13','14'] | Reference Text:  <S sid = 13 ssid = >Yves Schabes.</S><S sid = 14 ssid = >1992.</S> | Discourse Facet:  NA | Annotator: Automatic


