Citance Number: 1 | Reference Article:  P98-2173.txt | Citing Article:  W99-0109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Paper will be implemented in ICONOCLAST, an authoring tool which enables domain experts to create a knowledge base through a sequence of interactive choice and generates hiexarchitally structured text according to various tylistic constraints (See Power and Scott 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>• Since the knowledge base is presented through a document in natural language, it becomes immediately accessible to anyone peripherally concerned with the project (e.g. management, public relations, domain experts from related projects).</S><S sid = NA ssid = NA>These projects were the first attempts to produce symbolic authoring systems - that is, systems allowing a domain expert with no training in knowledge engineering to author a knowledge base (or symbolic source) from which texts in many languages can be generated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-2173.txt | Citing Article:  P10-4012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One important source of inspiration for GF was the WYSIWYM system (Power and Scott 1998), which used domain-specific interlinguas and produced excellent quality in multilingual generation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two approaches have been adopted: Machine Translation (MT) of a source text, and Multilingual Natural Language Generation (M-NLG) from a knowledge base.</S><S sid = NA ssid = NA>In the case of automatic Multilingual Natural Language Generation (MNLG), the source will be a knowledge base expressed in a formal language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-2173.txt | Citing Article:  C04-1166.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Figure 1: Architecture of a MDA system creation to systems presenting the user with the evolving text of the document (often called the feedback or control text) in her language, following from the WYSIWYM (What You See Is What You Meant) approach (Power and Scott, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have called this editing method `WYSIWYM', or 'What You See Is What You Meant': a natural language text ('what you see') presents a knowledge base that the author has built by purely semantic decisions (' what you meant'). feedback texts to the author.</S><S sid = NA ssid = NA>A more detailed description of the architecture is given in Scott et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-2173.txt | Citing Article:  P03-2017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The MDA (Multilingual Document Authoring) system [Brun et al2000] is an instance (descended from Ranta's Grammatical Framework [Ranta 2002]) of a text-mediated interactive natural language generation system, a notion introduced by [Power and Scott 1998] under the name of WYSIWYM.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the case of automatic Multilingual Natural Language Generation (MNLG), the source will be a knowledge base expressed in a formal language.</S><S sid = NA ssid = NA>Two approaches have been adopted: Machine Translation (MT) of a source text, and Multilingual Natural Language Generation (M-NLG) from a knowledge base.</S> | Discourse Facet:  NA | Annotator: Automatic


