Citance Number: 1 | Reference Article:  W04-0811.txt | Citing Article:  D12-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We estimate the optimal value for the threshold by maximizing F1 on a development set obtained by combining the Senseval-2 (Palmer et al., 2001) and Senseval-3 (Snyder and Palmer, 2004) English all-words datasets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As with the SENSEVAL-2 English all-words task, the supervised systems fared much better than the unsupervised systems (Palmer et al., 2001).</S><S sid = NA ssid = NA>The English All-Words Task</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-0811.txt | Citing Article:  P10-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The F-score obtained by training on SemCor (mixed-domain corpus) and testing on the two target domains without using any injections (srcb) F-score of 61.7% on Tourism and F score of 65.5% on Health is comparable to the best result reported on the SEMEVAL datasets (65.02%, where both training and testing hap pens on a mixed-domain corpus (Snyder and Palmer, 2004)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>While this result is encouraging, it seems that the best systems have a hit a wall in the 65- 70% range.</S><S sid = NA ssid = NA>Although we did not compute a baseline score, we received several baseline figures from our participants.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-0811.txt | Citing Article:  W07-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>State-of-the-art systems attained a disambiguation accuracy around 65% in the Senseval-3 all-words task (Snyder and Palmer, 2004), where WordNet (Fellbaum, 1998) was adopted as a reference sense inventory.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As with the SENSEVAL-2 English all-words task, the supervised systems fared much better than the unsupervised systems (Palmer et al., 2001).</S><S sid = NA ssid = NA>The English All-Words Task</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-0811.txt | Citing Article:  W07-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent estimations of the inter-annotator agreement when using the WordNet inventory report figures of 72.5% agreement in the preparation of the English all-words test set at Senseval-3 (Snyder and Palmer,2004) and 67.3% on the Open Mind Word Expert an notation exercise (Chklovski and Mihalcea, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is not surprising given the typical inter-annotator agreement of 70-75% for this task.</S><S sid = NA ssid = NA>This is not surprising given the typical inter-annotator agreement of 70-75% for this task.</S> | Discourse Facet:  NA | Annotator: Automatic


