Citance Number: 1 | Reference Article:  J05-4003.txt | Citing Article:  W06-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nevertheless, very little of that text seems to be genuinely parallel, although recent work (Munteanu and Marcu, 2005) indicates that true parallelism may not be required for some tasks, eg machine translation, in order to gain acceptable results.</S> | Reference Offset:  ['33','43'] | Reference Text:  <S sid = 33 ssid = >This article describes a method for identifying parallel sentences in comparable corpora and builds on our earlier work on parallel sentence extraction (Munteanu, Fraser, and Marcu 2004).</S><S sid = 43 ssid = >We work in the context of Arabic-English and Chinese-English statistical machine translation systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J05-4003.txt | Citing Article:  N09-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentence-level filter: The word-overlap filtering (Munteanu and Marcu, 2005) has been implemented: for a sentence pair (S, T) to be considered parallel the ratio of the lengths of the two sentences has to be smaller than two.</S> | Reference Offset:  ['81','92'] | Reference Text:  <S sid = 81 ssid = >The filter verifies that the ratio of the lengths of the two sentences is no greater than two.</S><S sid = 92 ssid = >For example, for a sentence pair sp, the word overlap (the percentage of words in either sentence that have a translation in the other) might be a useful indicator of whether the sentences are parallel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J05-4003.txt | Citing Article:  N09-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The baseline uses only the length-based filtering and the coverage filtering without caching the coverage decisions (Munteanu and Marcu, 2005).</S> | Reference Offset:  ['198','202'] | Reference Text:  <S sid = 198 ssid = >This is due to the low coverage of the dictionary learned from that corpus.</S><S sid = 202 ssid = >Tables 3 and 4 present the coverage of our extracted corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J05-4003.txt | Citing Article:  N09-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Currently, we are working on a feature-rich approach (Munteanu and Marcu, 2005) to improve the sentence-pair selection accuracy.</S> | Reference Offset:  ['84','347'] | Reference Text:  <S sid = 84 ssid = >The others are passed on to the parallel sentence selection stage.</S><S sid = 347 ssid = >The most important feature of our parallel sentence selection approach is its robustness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J05-4003.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years, there have been several approaches developed for obtaining parallel sentences from non-parallel, or comparable data, such as news articles published within the same time period (Munteanu and Marcu, 2005), or web pages with a similar structure (Resnik and Smith, 2003).</S> | Reference Offset:  ['344','345'] | Reference Text:  <S sid = 344 ssid = >However, STRAND focuses on extracting pairs of parallel Web pages rather than sentences.</S><S sid = 345 ssid = >Resnik and Smith (2003) show that their approach is able to find large numbers of similar document pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


