Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text,Reference Text Clean,fileName
1,2008,0,0,"Finally, we note that simple weighting gives nearly a 2% F1 improvement, whereas Goldberg and Tsarfaty (2008) found that unweighted lattices were more effective for Hebrew",C10-1045,Method_Citation,P08-1043,'116',"<S sid=""116"" ssid=""48"">We simulate lexical constraints by using an external lexical resource against which we verify whether OOV segments are in fact valid Hebrew lexemes.</S>","<S sid=""116"" ssid=""48"">We simulate lexical constraints by using an external lexical resource against which we verify whether OOV segments are in fact valid Hebrew lexemes.</S>",P08-1043.csv
2,2008,0,0,Goldberg and Tsarfaty (2008) showed that a single model for morphological segmentation and syntactic parsing of Hebrew yielded an error reduction of 12% over the best pipelined models,P11-1141,Hypothesis_Citation,P08-1043,'2',"<S sid=""2"" ssid=""2"">These words are in turn highly ambiguous, breaking the assumption underlying most parsers that the yield of a tree for a given sentence is known in advance.</S>","<S sid=""2"" ssid=""2"">These words are in turn highly ambiguous, breaking the assumption underlying most parsers that the yield of a tree for a given sentence is known in advance.</S>",P08-1043.csv
3,2008,0,0,"Zhang and Clark (2008) built a perceptron-based joint segmenter and part-of-speech (POS) tagger for Chinese, and Toutanova and Cherry (2009) learned a joint model of lemmatization and POS tagging which outperformed a pipelined model. Adler and Elhadad (2006) presented an HMMbased approach for unsupervised joint morphological segmentation and tagging of Hebrew, and Goldberg and Tsarfaty (2008) developed a joint model of segmentation, tagging and parsing of He brew, based on lattice parsing",P10-1074,Method_Citation,P08-1043,'47',"<S sid=""47"" ssid=""5"">Sima&#8217;an et al. (2001) presented parsing results for a DOP tree-gram model using a small data set (500 sentences) and semiautomatic morphological disambiguation.</S>","<S sid=""47"" ssid=""5"">Sima&#8217;an et al. (2001) presented parsing results for a DOP tree-gram model using a small data set (500 sentences) and semiautomatic morphological disambiguation.</S>",P08-1043.csv
4,2008,0,0,Goldberg and Tsarfaty (2008) pro pose a generative joint model,P11-1089,Method_Citation,P08-1043,'93',"<S sid=""93"" ssid=""25"">(Charniak et al., 1996).</S>","<S sid=""93"" ssid=""25"">(Charniak et al., 1996).</S>",P08-1043.csv
5,2008,0,0,Goldberg and Tsarfaty (2008) concluded that an integrated model of morphological disambiguation and syntactic parsing in Hebrew Treebank parsing improves the results of a pipelined approach,W10-1404,Hypothesis_Citation,P08-1043,'2',"<S sid=""2"" ssid=""2"">These words are in turn highly ambiguous, breaking the assumption underlying most parsers that the yield of a tree for a given sentence is known in advance.</S>","<S sid=""2"" ssid=""2"">These words are in turn highly ambiguous, breaking the assumption underlying most parsers that the yield of a tree for a given sentence is known in advance.</S>",P08-1043.csv
6,2008,0,0,Goldberg and Tsarfaty (2008) demonstrated the effectiveness of lattice parsing for jointly performing segmentation and parsing of Hebrewtext,P11-2124,Method_Citation,P08-1043,'83',"<S sid=""83"" ssid=""15"">Each token may admit multiple analyses, each of which a sequence of one or more lexemes (we use li to denote a lexeme) belonging a presupposed Hebrew lexicon LEX.</S>","<S sid=""83"" ssid=""15"">Each token may admit multiple analyses, each of which a sequence of one or more lexemes (we use li to denote a lexeme) belonging a presupposed Hebrew lexicon LEX.</S>",P08-1043.csv
7,"Goldberg and Tsarfaty, 2008",0,0,"Following (Goldberg and Tsarfaty, 2008) we deal with the ambiguous affixation patterns in Hebrew by encoding the input sentence as a segmentation lattice",P11-2124,Method_Citation,P08-1043,'91',"<S sid=""91"" ssid=""23"">Every parse &#960; selects a specific morphological segmentation (l1...lk) (a path through the lattice).</S>","<S sid=""91"" ssid=""23"">Every parse &#960; selects a specific morphological segmentation (l1...lk) (a path through the lattice).</S>",P08-1043.csv
8,2008,0,0,2The complete set of analyses for this word is provided in Goldberg and Tsarfaty (2008),P12-2002,Method_Citation,P08-1043,'161',"<S sid=""161"" ssid=""39"">We report the F1 value of both measures.</S>","<S sid=""161"" ssid=""39"">We report the F1 value of both measures.</S>",P08-1043.csv
9,"Goldberg and Tsarfaty, 2008",0,0,"A study that is closely related toours is (Goldberg and Tsarfaty, 2008), where a single generative model was proposed for joint morphological segmentation and syntactic parsing for Hebrew",D12-1046,Implication_Citation,P08-1043,'109',"<S sid=""109"" ssid=""41"">The latter arcs correspond to OOV words in English.</S>","<S sid=""109"" ssid=""41"">The latter arcs correspond to OOV words in English.</S>",P08-1043.csv
10,2008,0,0,"Models that in addition incorporate morphological analysis and segmentation have been explored by Tsarfaty (2006), Cohen and Smith (2007), and Goldberg and Tsarfaty (2008) with special reference to Hebrew parsing",D12-1133,Implication_Citation,P08-1043,'14',"<S sid=""14"" ssid=""10"">The input for the segmentation task is however highly ambiguous for Semitic languages, and surface forms (tokens) may admit multiple possible analyses as in (BarHaim et al., 2007; Adler and Elhadad, 2006).</S>","<S sid=""14"" ssid=""10"">The input for the segmentation task is however highly ambiguous for Semitic languages, and surface forms (tokens) may admit multiple possible analyses as in (BarHaim et al., 2007; Adler and Elhadad, 2006).</S>",P08-1043.csv
11,"Goldberg and Tsarfaty, 2008",0,0,"4), and in a more realistic one in which parsing and segmentation are handled jointly by the parser (Goldberg and Tsarfaty, 2008) (Sec",E09-1038,Results_Citation,P08-1043,'162',"<S sid=""162"" ssid=""40"">Finally, our U (unparsed) measure is used to report the number of sentences to which our system could not propose a joint analysis.</S>","<S sid=""162"" ssid=""40"">Finally, our U (unparsed) measure is used to report the number of sentences to which our system could not propose a joint analysis.</S>",P08-1043.csv
12,"Goldberg and Tsarfaty, 2008",0,0,"It is the same grammar as described in (Goldberg and Tsarfaty, 2008)",E09-1038,Implication_Citation,P08-1043,'131',"<S sid=""131"" ssid=""9"">The first 3770 trees of the resulting set then were used for training, and the last 418 are used testing.</S>","<S sid=""131"" ssid=""9"">The first 3770 trees of the resulting set then were used for training, and the last 418 are used testing.</S>",P08-1043.csv
14,2008,0,0,"Several studies followed this line, (Cohen and Smith, 2007) the most recent of which is Goldberg and Tsarfaty (2008), who presented a model based on unweighted lattice parsing for performing the joint task",E09-1038,Hypothesis_Citation,P08-1043,'51',"<S sid=""51"" ssid=""9"">Tsarfaty (2006) used a morphological analyzer (Segal, 2000), a PoS tagger (Bar-Haim et al., 2005), and a general purpose parser (Schmid, 2000) in an integrated framework in which morphological and syntactic components interact to share information, leading to improved performance on the joint task.</S>","<S sid=""51"" ssid=""9"">Tsarfaty (2006) used a morphological analyzer (Segal, 2000), a PoS tagger (Bar-Haim et al., 2005), and a general purpose parser (Schmid, 2000) in an integrated framework in which morphological and syntactic components interact to share information, leading to improved performance on the joint task.</S>",P08-1043.csv
15,2008,0,0,Goldberg and Tsarfaty (2008) use a data-driven morphological analyzer derived from the tree bank,E09-1038,Results_Citation,P08-1043,'189',"<S sid=""189"" ssid=""3"">Better grammars are shown here to improve performance on both morphological and syntactic tasks, providing support for the advantage of a joint framework over pipelined or factorized ones.</S>","<S sid=""189"" ssid=""3"">Better grammars are shown here to improve performance on both morphological and syntactic tasks, providing support for the advantage of a joint framework over pipelined or factorized ones.</S>",P08-1043.csv
16,2008,0,0,The model of Goldberg and Tsarfaty (2008) uses a morphological analyzer to constructs a lattice for each input token,E09-1038,Hypothesis_Citation,P08-1043,'75',"<S sid=""75"" ssid=""7"">Every token is independent of the others, and the sentence lattice is in fact a concatenation of smaller lattices, one for each token.</S>","<S sid=""75"" ssid=""7"">Every token is independent of the others, and the sentence lattice is in fact a concatenation of smaller lattices, one for each token.</S>",P08-1043.csv
