Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text,Reference Text Clean,fileName
1,"Skut et al, 1997",0,0,"This type of model is used to facilitate the syntactic annotation of the NEGRA corpus of German newspaper texts (Skut et al, 1997)",E99-1016,Results_Citation,A97-1014,'148',"<S sid=""148"" ssid=""29"">For a phrase Q with children of type T&#8222;..., Ta and grammatical functions G&#8222;...,GA., we use the lexical probabilities and the contextual (trigram) probabilities The lexical and contextual probabilities are determined separately for each type of phrase.</S>","<S sid=""148"" ssid=""29"">For a phrase Q with children of type T&#8222;..., Ta and grammatical functions G&#8222;...,GA., we use the lexical probabilities and the contextual (trigram) probabilities The lexical and contextual probabilities are determined separately for each type of phrase.</S>",A97-1014.csv
2,"Skut et al, 1997",0,0,"For our experiments, we use the NEGRA corpus (Skut et al, 1997)",E99-1016,Results_Citation,A97-1014,'35',"<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>","<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>",A97-1014.csv
3,"Skut et al, 1997",0,0,"As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training ,devel 1 10 100 1000 10000 100000 3 4 5 6 7 8 9 Frequenc y Parsing complexity head-driven optimal head-driven Figure 6: The distribution of parsing complexity among productions in Markovized, head-driven grammars read off from NEGRA-25",E12-1047,Method_Citation,A97-1014,'99',"<S sid=""99"" ssid=""12"">Because of the intended theory-independence of the scheme, we annotate only the common minimum.</S>","<S sid=""99"" ssid=""12"">Because of the intended theory-independence of the scheme, we annotate only the common minimum.</S>",A97-1014.csv
5,1997,0,0,According to Skut et al (1997) tree banks have to meet the following requirements: 1,I05-6010,Method_Citation,A97-1014,'137',"<S sid=""137"" ssid=""18"">The following commands are available: The three tagsets used by the annotation tool (for words, phrases, and edges) are variable and are stored together with the corpus.</S>","<S sid=""137"" ssid=""18"">The following commands are available: The three tagsets used by the annotation tool (for words, phrases, and edges) are variable and are stored together with the corpus.</S>",A97-1014.csv
7,"Skut et al, 1997",0,0,"In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997) .Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node",C10-1061,Method_Citation,A97-1014,'56',"<S sid=""56"" ssid=""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S>","<S sid=""56"" ssid=""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S>",A97-1014.csv
8,"Skut et al, 1997",0,0,"Our data source is the German NeGra tree bank (Skut et al, 1997)",C10-1061,Results_Citation,A97-1014,'10',"<S sid=""10"" ssid=""7"">For a description of the annotation tool see section 5.</S>","<S sid=""10"" ssid=""7"">For a description of the annotation tool see section 5.</S>",A97-1014.csv
9,"Skut et al, 1997",0,0,"The parsing models we present are trained and tested on the NEGRA corpus (Skut et al, 1997), a hand parsed corpus of German newspaper text containing approximately 20,000 sentences",P05-1039,Results_Citation,A97-1014,'19',"<S sid=""19"" ssid=""9"">Multi-stratal representation: Clear separation of different description levels is desirable.</S>","<S sid=""19"" ssid=""9"">Multi-stratal representation: Clear separation of different description levels is desirable.</S>",A97-1014.csv
10,"Skut et al, 1997",0,0,"The present paper addresses this question by proposing a probabilistic parsing model trained on Negra (Skut et al, 1997), a syntactically annotated corpus for German",P03-1013,Implication_Citation,A97-1014,'91',"<S sid=""91"" ssid=""4"">Most linguistic theories treat NPs as structures headed by a unique lexical item (noun).</S>","<S sid=""91"" ssid=""4"">Most linguistic theories treat NPs as structures headed by a unique lexical item (noun).</S>",A97-1014.csv
11,"Skut et al, 1997",0,0,"The annotation scheme (Skut et al, 1997) is modeled to a certain extent on that of the Penn Treebank (Marcuset al, 1993), with crucial differences",P03-1013,Results_Citation,A97-1014,'38',"<S sid=""38"" ssid=""28"">Due to the frequency of discontinuous constituents in non-configurational languages, the filler-trace mechanism would be used very often, yielding syntactic trees fairly different from the underlying predicate-argument structures.</S>","<S sid=""38"" ssid=""28"">Due to the frequency of discontinuous constituents in non-configurational languages, the filler-trace mechanism would be used very often, yielding syntactic trees fairly different from the underlying predicate-argument structures.</S>",A97-1014.csv
13,"Skut et al, 1997",0,0,"German is con sider ably more in ectional which means that discarding functional information is more harmful, and which explains why the NEGRA an notation has been conceived to be quite at (Skut et al, 1997)",W04-1505,Results_Citation,A97-1014,'35',"<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>","<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>",A97-1014.csv
14,"Skut et al, 1997",0,0,"The factors used in the algorithms and the algorithms themselves are evaluated on a Germancorpus annotated with syntactic and co reference in formation (Negra) (Skut et al, 1997)",C04-1074,Results_Citation,A97-1014,'35',"<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>","<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>",A97-1014.csv
16,"Skut et al, 1997",0,0,"CKK uses the Dubey and Keller (2003) parser, which is trained on the Negra corpus (Skut et al, 1997)",P11-2067,Results_Citation,A97-1014,'35',"<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>","<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>",A97-1014.csv
17,"Skut et al, 1997",0,0,"Earlier studies by Dubey and Keller (2003) and Dubey (2005) using the Negratreebank (Skut et al, 1997) reports that lexicaliza tion of PCFGs decrease the parsing accuracy when parsing Negra? s flat constituent structures",W08-1007,Method_Citation,A97-1014,'65',"<S sid=""65"" ssid=""10"">The tree resembles traditional constituent structures.</S>","<S sid=""65"" ssid=""10"">The tree resembles traditional constituent structures.</S>",A97-1014.csv
19,"Skut et al, 1997",0,0,"A comparison of unlexicalised PCFG parsing (Ku ?bler, 2005) trained and evaluated on the German NEGRA (Skut et al, 1997) and the Tu? Ba D/Z (Telljohann et al, 2004) tree banks using LoPar (Schmid, 2000) shows a difference in parsing results of about 16%, using the PARSEVAL metric (Black et al, 1991)",D07-1066,Results_Citation,A97-1014,'35',"<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>","<S sid=""35"" ssid=""25"">Therefore, the solutions they offer are not always optimal for other language types.</S>",A97-1014.csv
