Citance Number: 1 | Reference Article:  E03-1071.txt | Citing Article:  W03-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Implementations of GIS typically use a correction feature, but following Curran and Clark (2003) we do not use such a feature, which simplifies the algorithm.</S> | Reference Offset:  ['12','105'] | Reference Text:  <S sid = 12 ssid = >We also investigate how the use of a correction feature affects the performance of ME taggers.</S><S sid = 105 ssid = >This paper has demonstrated, both analytically and empirically, that GIS does not require a correction feature Eliminating the correction feature simplifies further the already very simple estimation algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E03-1071.txt | Citing Article:  P04-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 3 also gives the results if automatically assigned POS tags are used in the training and testing phases, using the C & C POS tagger (Curran and Clark, 2003).</S> | Reference Offset:  ['48','76'] | Reference Text:  <S sid = 48 ssid = >CCG supertagging is more difficult than POS tagging because the set of &quot;tags&quot; assigned by the supertagger is much larger (398 in this implementation, compared with 45 POS tags).</S><S sid = 76 ssid = >Table 6 gives results for cutoff values between 1 and 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E03-1071.txt | Citing Article:  W06-1619.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['44','142'] | Reference Text:  <S sid = 44 ssid = >The parameters o-, are usually collapsed into one parameter which can be set using heldout data.</S><S sid = 142 ssid = >Computational Linguistics, 27(2): 199-229.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E03-1071.txt | Citing Article:  W06-1619.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When compared with other supertag sets of automatically extracted lexicalized grammars, the (effective) size of our supertag set, 1,361 lexical entries, is between the CCG supertag set (398 categories) used by Curran and Clark (2003) and the LTAG supertag set (2920 elementary trees) used by Shen and Joshi (2003).</S> | Reference Offset:  ['48','98'] | Reference Text:  <S sid = 48 ssid = >CCG supertagging is more difficult than POS tagging because the set of &quot;tags&quot; assigned by the supertagger is much larger (398 in this implementation, compared with 45 POS tags).</S><S sid = 98 ssid = >Following Clark (2002), all categories that occurred at least 10 times in the training data were used, resulting in a tagset of 398 categories.</S> | Discourse Facet:  NA | Annotator: Automatic


