Citance Number: 1 | Reference Article:  W04-2609.txt | Citing Article:  W04-2610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The annotation of each example consisted of specifying its feature vector and the most appropriate semantic relation as defined in (Moldovan et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The annotation of each example consisted of specifying its feature vector and the most appropriate semantic relation from those listed in Table 1.</S><S sid = NA ssid = NA>Here is an example.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-2609.txt | Citing Article:  W04-2610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It also provides a mapping from the FrameNet deep semantic roles to general thematic roles (list defined in (Moldovan et al 2004)), and use cases for VerbNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Roles.</S><S sid = NA ssid = NA>Thus, in a sense, semantic relations are more general than semantic roles and many semantic role types will appear on our list of semantic relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-2609.txt | Citing Article:  W04-2610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The list of 35 semantic relations was presented in (Moldovan et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, in a sense, semantic relations are more general than semantic roles and many semantic role types will appear on our list of semantic relations.</S><S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-2609.txt | Citing Article:  W04-2610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have compared the performance of SVM with three other learning algorithms: (1) semantic scattering (Moldovan et al 2004), (2) decision trees (a C4.5 implementation), and (3) Naive Bayes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So far we have experimented with three models: (1) semantic scattering, (2) decision trees, and (3) naive Bayes.</S><S sid = NA ssid = NA>Semantic Scattering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-2609.txt | Citing Article:  W04-2610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We considered as baseline semantic scattering which is a new learning model (Moldovan et al 2004) developed in-house for the semantic classification of noun noun pairs in NP constructions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is a new model developed by us particularly useful for the classification of compound nominals without nominalization.</S><S sid = NA ssid = NA>Semantic Scattering.</S> | Discourse Facet:  NA | Annotator: Automatic


