Citance Number: 1 | Reference Article:  J97-1003.txt | Citing Article:  P99-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The performance with respect to identifying sentence boundaries appears to be close to that of systems aimed at identifying only sentence boundaries (Palmer and Hearst, 1997), whose accuracy is in the range of 99%.</S> | Reference Offset:  ['22','135'] | Reference Text:  <S sid = 22 ssid = >The algorithm has three parts: tokenization into terms and sentence-sized units, determination of a score for each sentence-sized unit, and detection of the subtopic boundaries, which are assumed to occur at the largest valleys in the graph that results from plotting sentence-units against scores.</S><S sid = 135 ssid = >In contrast, TextTiling has the goal of identifying major subtopic boundaries, attempting only a linear segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J97-1003.txt | Citing Article:  P99-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This similarity is computed by applying in the style of Hearst (1997) a cosine-based metric on the morphed segments.</S> | Reference Offset:  ['325','361'] | Reference Text:  <S sid = 325 ssid = >The lexical score is computed as follows.</S><S sid = 361 ssid = >Any attempt to make an absolute cutoff, even one normalized for the length of the document, is problematic since there should be some relationship between the structure and style of the text and the number of segments assigned to it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J97-1003.txt | Citing Article:  N10-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Foltz et al's (1998) approach is in line with the earlier TextTiling method that identifies subtopic structure in text (Hearst, 1997).</S> | Reference Offset:  ['19','497'] | Reference Text:  <S sid = 19 ssid = >Because the goal is to partition texts into contiguous, nonoverlapping subtopic segments, I call the general approach TextTiling (Hearst, 1993, 1994a, 1994b).1 Subtopic discussions are assumed to occur within the scope of one or more overarching main topics, which span the length of the text.</S><S sid = 497 ssid = >In a line of work we call Mixed-Media access (Chen et al. 1994), textual subtopic structure is being integrated with other media types, such as images and speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J97-1003.txt | Citing Article:  C10-2177.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 1 also presents the performance of a typical topic segmentation algorithm, TextTiling (Hearst, 1997).</S> | Reference Offset:  ['368','370'] | Reference Text:  <S sid = 368 ssid = >This section presents comparisons of the results of the algorithm against human judgments and against article boundaries.</S><S sid = 370 ssid = >As mentioned above, Hearst (1995) and Hearst and Plaunt (1993) show how to use TextTiles in information retrieval tasks, although this work does not show whether or not the results of these algorithms produce better performance than the results of some other segmentation strategy would.</S> | Discourse Facet:  NA | Annotator: Automatic


