Citance Number: 1 | Reference Article:  P11-2008.txt | Citing Article:  P14-2114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, we use a POS tagger trained on tweets (Gimpel et al, 2011) to perform POS tagging on the tweets data and apart from the previously recognised named entities, only words tagged with nouns, verbs or adjectives are kept.</S> | Reference Offset:  ['12','19'] | Reference Text:  <S sid = 12 ssid = >Our contributions are as follows: • we developed features for Twitter POS tagging and conducted experiments to evaluate them, and • we provide our annotated corpus and trained POS tagger to the research community.</S><S sid = 19 ssid = >Next, we obtained a random sample of mostly American English1 tweets from October 27, 2010, automatically tokenized them using a Twitter tokenizer (O’Connor et al., 2010b),2 and pre-tagged them using the WSJ-trained Stanford POS Tagger (Toutanova et al., 2003) in order to speed up manual annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-2008.txt | Citing Article:  P13-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, POS taggers for Twitter are only available for a limited number of languages such as English (Gimpel et al, 2011).</S> | Reference Offset:  ['8','11'] | Reference Text:  <S sid = 8 ssid = >Most POS taggers are trained from treebanks in the newswire domain, such as the Wall Street Journal corpus of the Penn Treebank (PTB; Marcus et al., 1993).</S><S sid = 11 ssid = >In this paper, we produce an English POS tagger that is designed especially for Twitter data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-2008.txt | Citing Article:  P14-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 3: Explicit requests for sharing (where only occurrences POS-tagged as verbs count, according to the Gimpel et al (2011) tagger).</S> | Reference Offset:  ['19','83'] | Reference Text:  <S sid = 19 ssid = >Next, we obtained a random sample of mostly American English1 tweets from October 27, 2010, automatically tokenized them using a Twitter tokenizer (O’Connor et al., 2010b),2 and pre-tagged them using the WSJ-trained Stanford POS Tagger (Toutanova et al., 2003) in order to speed up manual annotation.</S><S sid = 83 ssid = >The results are shown in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-2008.txt | Citing Article:  P14-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our POS results, gathered using a Twitter-specific tagger (Gimpel et al, 2011), echo those of Ashok et al (2013) who looked at predict 14 Of course, simply inserting garbage isn't going to lead to more re-tweets, but adding more information generally involves longer text.</S> | Reference Offset:  ['5','19'] | Reference Text:  <S sid = 5 ssid = >The popular microblogging service Twitter (twitter.com) is one particularly fruitful source of user-created content, and a flurry of recent research has aimed to understand and exploit these data (Ritter et al., 2010; Sharifi et al., 2010; Barbosa and Feng, 2010; Asur and Huberman, 2010; O’Connor et al., 2010a; Thelwall et al., 2011).</S><S sid = 19 ssid = >Next, we obtained a random sample of mostly American English1 tweets from October 27, 2010, automatically tokenized them using a Twitter tokenizer (O’Connor et al., 2010b),2 and pre-tagged them using the WSJ-trained Stanford POS Tagger (Toutanova et al., 2003) in order to speed up manual annotation.</S> | Discourse Facet:  NA | Annotator: Automatic

