Citance Number: 1 | Reference Article:  W04-0807.txt | Citing Article:  W07-2055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This was mainly because of their attested strength at earlier Senseval evaluations (Edmonds et al 2002, Mihalcea et al 2004) and mutual complementarity discovered by us (Saarikoski et al., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This task is a follow-up to similar tasks organized during the SENSEVAL-1 (Kilgarriff and Palmer, 2000) and SENSEVAL-2 (Preiss and Yarowsky, 2001) evaluations.</S><S sid = NA ssid = NA>Kilgarriff (2002) mentions that for the SENSEVAL-2 nouns and adjectives there was a 66.5% agreement between the first two taggings (taken in order of submission) entered for each item.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-0807.txt | Citing Article:  W07-2055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, it has been Senseval practice (Edmonds et al 2002, Mihalcea et al 2004) that words with great number of test instances tend to have an equally great number of training instances.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 presents the number of words under each part of speech, and the average number of senses for each class.</S><S sid = NA ssid = NA>Consequently, the training and test data sets made available for this task do not contain collocations as possible target words, but only single word units.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-0807.txt | Citing Article:  D09-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The sentences that we use from the GWS dataset were originally extracted from the English SENSEVAL-3 lexical sample task (Mihalcea et al, 2004) (hereafter SE-3) and SemCor (Miller et al, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Senseval-3 English Lexical Sample Task</S><S sid = NA ssid = NA>The data set used for the SENSEVAL-3 English lexical sample task consists of examples extracted from the British National Corpus (BNC).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-0807.txt | Citing Article:  H05-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At Senseval-3 (Mihalcea et al, 2004) the top systems were considered to have reached a ceiling, in terms of performance, at 72% for fine grained disambiguation and 80% for coarse grained.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance of most systems (including several unsupervised systems, as listed in Table 3) is significantly higher than the baseline, with the best system performing at 72.9% (79.3%) for fine grained (coarse grained) scoring.</S><S sid = NA ssid = NA>Precision and recall figures are provided for both fine grained and coarse grained scoring.</S> | Discourse Facet:  NA | Annotator: Automatic


