Citance Number: 1 | Reference Article:  D08-1059.txt | Citing Article:  D09-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>a "configuration" is sometimes called a "state" (Zhang and Clark, 2008), but that term is confusing with the states in shift-reduce LR/LL parsing, which are quite different.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here each state item contains a partial parse tree as well as a stack configuration, and state items are built incrementally by transition actions.</S><S sid = NA ssid = NA>In particular, the graph-based model is unable to score the actions “Reduce” and “Shift”, since they do not modify the parse tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1059.txt | Citing Article:  D09-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As we will see in Section 5.1, this simpler arc-standard system performs equally well with a state-of-the-art arc-eager system (Zhang and Clark, 2008) on standard English Treebank parsing (which is never shown before).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Testing on the English and Chinese Penn Treebank data, the combined system gave state-of-the-art accuraof respectively.</S><S sid = NA ssid = NA>Like Duan et al. (2007), we use gold-standard POS-tags for the input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1059.txt | Citing Article:  D09-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also enhance deterministic shift-reduce parsing with beam search, similar to Zhang and Clark (2008), where k configurations develop in parallel.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We develop three parsers.</S><S sid = NA ssid = NA>We develop our transition-based parser using the transition model of the MaltParser (Nivre et al., 2006), which is characterized by the use of a stack and four transition actions: Shift, ArcRight, ArcLeft and Reduce.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1059.txt | Citing Article:  D09-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 4 compares our baseline against the state-of-the-art graph-based (McDonald et al, 2005) and transition-based (Zhang and Clark, 2008) approaches, and confirms that our system performs at the same level with those state of-the-art, and runs extremely fast in the deterministic mode (k=1), and still quite fast in the beam search mode (k=16).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Graph-based (McDonald et al., 2005; McDonald and Pereira, 2006; Carreras et al., 2006) and transition-based (Yamada and Matsumoto, 2003; Nivre et al., 2006) parsing algorithms offer two different approaches to data-driven dependency parsing.</S><S sid = NA ssid = NA>We developed a graph-based and a transition-based projective dependency parser using beam-search, demonstrating that beam-search is a competitive choice for both parsing approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


