Citance Number: 1 | Reference Article:  A97-1052.txt | Citing Article:  P98-2247.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The SCFs applicable to each verb are extracted automatically from corpus data using the system of Briscoe and Carroll (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many of these are not exploitable automatically because they rest on semantic judgements which cannot (yet) be made automatically: for example, optional arguments are often 'understood' or implied if missing.</S><S sid = NA ssid = NA>Many of these are not exploitable automatically because they rest on semantic judgements which cannot (yet) be made automatically: for example, optional arguments are often 'understood' or implied if missing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A97-1052.txt | Citing Article:  P13-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On the other hand, we find automatic approaches to the induction of verb subcategorization information at the syntax-semantics interface for a large number of languages ,e.g. Briscoe and Carroll (1997) for English; Sarkar and Zeman (2000) for Czech; Schulteim Walde (2002a) for German; Messiant (2008) for French.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Extraction Of Subcategorization From Corpora</S><S sid = NA ssid = NA>However, we are experimenting with alternative approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A97-1052.txt | Citing Article:  C04-1153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Briscoe and Carroll (1997) and Korhonen et al (2000) use a grammar and a sophisticated parsing tool for argument-adjunct distinction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>the Alvey NL Tools (ANLT) dictionary, Boguraev et al. (1987); the COMLEX Syntax dictionary, Grishman et al.</S><S sid = NA ssid = NA>Grishman et al., 1992); see figure 65.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A97-1052.txt | Citing Article:  I05-6008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>67 search, but a starting point would be the approach by (Briscoe and Carroll, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Boguraev & Briscoe, 1987).</S><S sid = NA ssid = NA>Boguraev & Briscoe, 1987).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A97-1052.txt | Citing Article:  C04-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Boguraev & Briscoe, 1987).</S><S sid = NA ssid = NA>361 significant at the 95% level p = if the pattern of differences were maintained over a larger test set of 470 sentences it would be significant.</S> | Discourse Facet:  NA | Annotator: Automatic


