Citance Number: 1 | Reference Article:  C04-1180.txt | Citing Article:  W04-3215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For evaluation the parser returns dependency structures, but we have also developed a module which builds first order semantic representations from the derivations, which can be used for inference (Bos et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unlike the dependency structures returned by the parser itself, these can be used directly for semantic in terpretation.</S><S sid = NA ssid = NA>Andthird, there exist highly accurate, efficient and ro bust CCG parsers which can be used directly for this task (Clark and Curran, 2004b; Hockenmaier, 2003).The existing CCG parsers deliver predicate argu ment structures, but not semantic representations that can be used for inference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1180.txt | Citing Article:  P13-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CCG-based syntactic parsing (Bos et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Toutanova et al (2002) and Ka plan et al (2004) combine statistical methods with a linguistically motivated grammar formalism (HPSG and LFG respectively) in an attempt to achieve levels of robustness and accuracy comparable to the Penn Treebank parsers (which Kaplan et al do achieve).</S><S sid = NA ssid = NA>The only other deep parser we are aware of to achieve such levels of robustness for the WSJ is Kaplan et al (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1180.txt | Citing Article:  D07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bos et al (2004) present an algorithm that learns CCG lexicons with semantics but requires fully specified CCG derivations in the training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper shows how to construct semantic representations from the derivations producedby a wide-coverage CCG parser.</S><S sid = NA ssid = NA>Wide-Coverage Semantic Representations From A CCG Parser</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1180.txt | Citing Article:  P06-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This leads a traditional parsing system with a direct mapping from the parse tree to a semantic representation to fail to achieve a parse on 35% percent of the stories, and as such could not be used (Bos et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Toutanova et al (2002) and Ka plan et al (2004) combine statistical methods with a linguistically motivated grammar formalism (HPSG and LFG respectively) in an attempt to achieve levels of robustness and accuracy comparable to the Penn Treebank parsers (which Kaplan et al do achieve).</S><S sid = NA ssid = NA>The only other deep parser we are aware of to achieve such levels of robustness for the WSJ is Kaplan et al (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


