Citance Number: 1 | Reference Article:  W07-0734.txt | Citing Article:  W07-0718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Its flexible matching was extended to French, Spanish, German and Czech for this workshop (Lavie and Agarwal, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>METEOR versions for Spanish, French and German therefore currently include only “exact” and “stemming” matching modules.</S><S sid = NA ssid = NA>For Spanish, German and French we used the evaluation data provided by the shared task at last year’s WMT workshop.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W07-0734.txt | Citing Article:  P13-2073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate using BLEU4 (Papineni et al, 2002) and METEOR (Lavie and Agarwal, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The most commonly used MT evaluation metric in recent years has been IBM’s BLEU metric (Papineni et al., 2002).</S><S sid = NA ssid = NA>METEOR , as well as several other proposed metrics such as GTM (Melamed et al., 2003), TER (Snover et al., 2006) and CDER (Leusch et al., 2006) aim to address some of these weaknesses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W07-0734.txt | Citing Article:  W10-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The translation accuracy reported in Table 3, as measured by BLEU (Papineni et al, 2002) and METEOR (Lavie and Agarwal, 2007), also shows significant improvement and approaches the quality achieved using gold standard data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The most commonly used MT evaluation metric in recent years has been IBM’s BLEU metric (Papineni et al., 2002).</S><S sid = NA ssid = NA>METEOR , as well as several other proposed metrics such as GTM (Melamed et al., 2003), TER (Snover et al., 2006) and CDER (Leusch et al., 2006) aim to address some of these weaknesses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W07-0734.txt | Citing Article:  W10-1760.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the translation, a multi-stack phrase-based decoder was used. For the evaluation of translation quality, we applied standard automatic metrics, i.e., BLEU (Papineni et al, 2002) and METEOR (Lavie and Agarwal, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>an automatic metric for Machine Translation evaluation which has been demonstrated to have high levels of correlation with human judgments of translation quality, significantly outperforming the more used It is one of several automatic metrics used in this year’s shared task within the ACL WMT-07 workshop.</S><S sid = NA ssid = NA>The most commonly used MT evaluation metric in recent years has been IBM’s BLEU metric (Papineni et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


