Citance Number: 1 | Reference Article:  W02-0505.txt | Citing Article:  P02-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly maps English letter sequences into Arabic letter sequences, which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The spelling-based model we propose directly maps English letter sequences into Arabic letter sequences with probability P(alw), which is trained on an English/Arabic name list without the need for English pronunciations.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-0505.txt | Citing Article:  W07-0703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The adapted spelling-based generative model is similar to (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The transliteration process is based on a generative model of how an English name is transliterated into Arabic.</S><S sid = NA ssid = NA>We first show in Section 8.2.1 the overall accuracy of the phonetic-based model, the spelling-based model, and the linear combination of them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-0505.txt | Citing Article:  W06-1630.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Transliteration from English to Arabic and Chinese is complicated (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We apply our transliteration algorithm to the transliteration of names from Arabic into English.</S><S sid = NA ssid = NA>Therefore, each name in the list is classified in one of three categories ARABIC, for names of Arabic origin; ENGLISH, for names of English origin; and OTHER, for names of other origins including Chinese, Russian, Indian, etc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-0505.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Section 3 presents the letter-based transducer approach to Arabic-English transliteration proposed in (Al-Onaizan and Knight,2002), which we use as the main point of comparison for our substring-based models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we present a comparison of the accuracy of the phonetic-based model, the spelling-based model, and the linear combination in transliterating names from Arabic into English on the development and test sets.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


