Citance Number: 1 | Reference Article:  W03-1719.txt | Citing Article:  W03-1721.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For details on the word segmentation bakeoff, see (Sproat and Emerson, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The First International Chinese Word Segmentation Bakeoff</S><S sid = NA ssid = NA>This paper presents the results from the ACL-SIGHAN-sponsored First International Chinese Word Segmentation Bakeoff held in 2003 and reported in conjunction with the Second SIGHAN Workshop on Chinese Language Processing, Sapporo, Japan.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W03-1719.txt | Citing Article:  W03-1721.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We refer readers to (Sproat and Emerson, 2003) for details on the evaluation measures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Yao, 2001; Yao, 2002) for the first and second of these; the third evaluation will be held in August 2003.</S><S sid = NA ssid = NA>Accuracies in the mid 80’s to mid 90’s were reported for the four systems that participated in the first evaluation, with higher scores (many in the high nineties) being reported for the second evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W03-1719.txt | Citing Article:  P14-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We conduct experiments on the SIGHAN 2003 (Sproat and Emerson, 2003) and 2005 (Emerson, 2005) bake-off datasets to evaluate the effectiveness of the proposed dual decomposition algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents the results from the ACL-SIGHAN-sponsored First International Chinese Word Segmentation Bakeoff held in 2003 and reported in conjunction with the Second SIGHAN Workshop on Chinese Language Processing, Sapporo, Japan.</S><S sid = NA ssid = NA>We then used this dictionary with a simple maximum matching algorithm to segment the test corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W03-1719.txt | Citing Article:  I08-4033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After analyzing the results presented in the first and second Bakeoffs, (Sproat and Emerson,2003) and (Emerson, 2005), we created a new Chinese word segmentation system named as? Achilles? that consists of four modules mainly: Regular expression extractor, dictionary-based Ngramsegmentation, CRF-based sub word tagging (Zhang et al, 2006), and confidence-based segmentation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It seems reasonable to treat two systems as significantly different (at the 95% confidence level), if at least one of their recall-based or precision-based confidences are different.</S><S sid = NA ssid = NA>The First International Chinese Word Segmentation Bakeoff</S> | Discourse Facet:  NA | Annotator: Automatic


