Citance Number: 1 | Reference Article:  X96-1048.xml | Citing Article:  A97-1028.xml | Citation Marker Offset:  [] | Citation Marker:  Sundheim ... 1995b | Citation Offset:  [] | Citation Text:  Named Entity evaluation began as a part of recent Message Understanding Conferences (MUC), whose objective was to standardize the evaluation of IE tasks (Sundheim, 1995b). | Reference Offset:  ['357'] | Reference Text:  <S sid ="357" ssid = "158">In addition, there are plans to put evaluations on line, with public access, starting with the NE evaluation; this is intended to make the NE task familiar to new sites and to give them a convenient and low-pressure way to try their hand at following a standardized test procedure.</S> | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 2 | Reference Article:  X96-1048.xml | Citing Article:  E12-2021.xml | Citation Marker Offset:  [] | Citation Marker:  Sundheim ... 1996 | Citation Offset:  [] | Citation Text:  These base annotations can be connected by binary relations  either directed or undirected  which can be congured for e.g. simple relation extraction, or verb frame annotation (Figure 1 middle and bottom). n-ary associations of annotations are also supported, allowing the annotation of event structures such as those targeted in the MUC (Sundheim, 1996), | Reference Offset:  ['15'] | Reference Text:  <S sid ="15" ssid = "15">• Scenario Template (ST) --Drawing evidence from anywhere in the text, extract prespecified event information, and relate the event information to the particular organization and person entities involved in the event.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 3 | Reference Article:  X96-1048.xml | Citing Article:  J00-4003.xml | Citation Marker Offset:  ['360'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['358','359','360'] | Citation Text:  <S sid ="358" ssid = "329">This so-called named entity recognition task has received considerable attention recently (Mani and MacMillan 1996; McDonald 1996; Paik et al. 1996; Bike!</S><S sid ="359" ssid = "330">et al. 1997; Palmer and Day 1997; Wacholder and Ravin 1997; Mikheev, Moens, and Grover 1999) and was one of the tasks evaluated in the Sixth and Seventh Message Under­ standing Conferences.</S><S sid ="360" ssid = "331">In MUC6, 15 different systems participated in the competition (Sundheim 1995).</S>This so-called named entity recognition task has received considerable attention recently ... and was one of the tasks evaluated in the Sixth and Seventh Message Understanding Conferences. In MUC-6, 15 different systems participated in the competition (Sundheim 1995) | Reference Offset:  ['4'] | Reference Text:  <S sid ="4" ssid = "4">The Named Entity and Coreference tasks entailed Standard Generalized Markup Language (SGML) annotation of texts and were being conducted for the first time.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 4 | Reference Article:  X96-1048.xml | Citing Article:  J00-4003.xml | Citation Marker Offset:  ['20'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['12','20'] | Citation Text:  <S sid ="12" ssid = "12">As a result, quantitative evaluation is now commonplace in areas of language engineering such as parsing, and quantitative evaluation techniques are being proposed for semantic</S><S sid ="20" ssid = "20"> interpretation as well, for example, at the Sixth and Seventh Message Understa nd­ ing Conferences (MUC6 and MUC7) (Sundheim 1995; Chinchor 1997), which also included evaluations of systems on the so-called coreference task, a subtask of which is the resolution of definite descriptions.</S> | Reference Offset:  ['4', '113'] | Reference Text:  <S sid ="4" ssid = "4">The Named Entity and Coreference tasks entailed Standard Generalized Markup Language (SGML) annotation of texts and were being conducted for the first time.</S><S sid ="113" ssid = "113">In the middle of the spectrum are definite descriptions and pronouns whose choice of referent is constrained by such factors as structural relations and discourse focus.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |

