Citance Number: 1 | Reference Article:  W09-1119.txt | Citing Article:  N12-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The system uses the Illinois Entity Tagger (Ratinov and Roth, 2009) and Orthomatcher from the GATE framework for within a document co-reference resolution.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have presented a simple model for NER that uses expressive features to achieve new state of the art performance on the Named Entity recognition task.</S><S sid = NA ssid = NA>Our baseline NER system uses a regularized averaged perceptron (Freund and Schapire, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W09-1119.txt | Citing Article:  W11-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the IOBES notation (Ratinov and Roth, 2009) to represent NE mentions with label sequences, thereby NER is formalized as a multi class classification problem in which a given token is classified into IOBES labels.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These include: what model to use for sequential inference, how to represent text chunks and what inference (decoding) algorithm to use.</S><S sid = NA ssid = NA>When making the prediction for token instance xi, we record the label assignment distribution for all token instances for the same token type in the previous 1000 words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W09-1119.txt | Citing Article:  P13-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally both the training and test data were sentence-segmented and word-tokenized by NLTK (Bird and Loper, 2004), dependency parsed by the Stanford Parser (Klein and Manning, 2003), and NER-tagged by the Illinois Named Entity Tagger (Ratinov and Roth, 2009) with an 18-label type set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The named entities mentioned in the test dataset are considerably different from those that appear in the training or the development set.</S><S sid = NA ssid = NA>Next, we have compared the performance of our system to that of the Stanford NER tagger, across the datasets discussed above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W09-1119.txt | Citing Article:  C10-2145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Cited authors of each paper are extracted from the reference section and automatically identified by a named entity recognizer tuned for citation extraction (Ratinov and Roth, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>That is, if a named entity token was identified as such, we counted it as a correct prediction ignoring the named entity type.</S><S sid = NA ssid = NA>In this paper we investigate one such application– Named Entity Recognition (NER).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W09-1119.txt | Citing Article:  W11-0902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ratinov and Roth (2009) also investigate design challenges for named entity recognition, and showed that other design choices, such as the representation of output labels and using features built on external knowledge, are more important than the learning model itself.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Design Challenges and Misconceptions in Named Entity Recognition</S><S sid = NA ssid = NA>We explored four fundamental design decisions: text chunks representation, inference algorithm, using non-local features and external knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


