Citance Number: 1 | Reference Article:  D10-1115.txt | Citing Article:  D11-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compositionality of adjective-noun phrases and how it can be adequately modeled in VSMs is the main concern in Baroni and Zamparelli (2010) and Guevara (2010), who are in search of the best composition operator for combining adjective with noun meanings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The main innovation of Guevara (2010), who focuses on adjective-noun combinations (AN), is to use the cooccurrence vectors of observed ANs to train a supervised composition model (we became aware of Guevara’s approach after we had developed our own model, that also exploits observed ANs for training).</S><S sid = NA ssid = NA>Following the insight of FS, we treat attributive adjectives as functions over noun meanings; however, noun meanings are vectors, not sets, and the functions are learnt from corpus-based noun-AN vector pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D10-1115.txt | Citing Article:  W11-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate four different compositionality models shown to have various levels of success in representing the meaning of AN pairs: the simple additive and multiplicative models of Mitchell and Lapata (2008), and the linear-map-based models of Guevara (2010) and Baroni and Zamparelli (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Guevara compares his model to the simplified additive and multiplicative models of Mitchell and Lapata.</S><S sid = NA ssid = NA>Given two vectors u and v, they identify two general classes of composition models, (linear) additive models: where A and B are weight matrices, and multiplicative models: where C is a weight tensor projecting the uv tensor product onto the space of p. Mitchell and Lapata derive two simplified models from these general forms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D10-1115.txt | Citing Article:  W11-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The final approach we re-implement is the one proposed by Baroni and Zamparelli (2010), who treat attributive adjectives as functions from noun meanings to noun meanings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following the insight of FS, we treat attributive adjectives as functions over noun meanings; however, noun meanings are vectors, not sets, and the functions are learnt from corpus-based noun-AN vector pairs.</S><S sid = NA ssid = NA>As discussed in the introduction, we will take adjectives in attributive position to be functions from one noun meaning to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D10-1115.txt | Citing Article:  W11-1301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baroni and Zamparelli (2010) show that their model significantly outperforms other vector composition methods, including addition, multiplication and Guevara's approach, in the task of approximating the correct vectors for previously unseen (but corpus-attested) ANs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Section 6, we show that our model outperforms other approaches at the task of approximating such vectors for unseen ANs.</S><S sid = NA ssid = NA>Our model significantly outperforms the rivals on the task of reconstructing AN vectors not seen in training.</S> | Discourse Facet:  NA | Annotator: Automatic


