Citance Number: 1 | Reference Article:  J93-2005.txt | Citing Article:  W94-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pustejovsky confronted with the problem of automatic acquisition more extensively in [Pustejovsky et al 1993].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S><S sid = NA ssid = NA>It is these lexical structures that are then statistically tuned against the corpus, following the methods outlined in Anick and Pustejovsky (1990) and Pustejovsky (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-2005.txt | Citing Article:  P99-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We inferred the bracketing by modifying an algorithm initially proposed by Pustejovsky et al (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S><S sid = NA ssid = NA>We describe research on conversion of a machine-tractable dictionary (Wilks et al. 1993) into a usable lexical knowledge base (Boguraev 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-2005.txt | Citing Article:  P98-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The bracketing problem for noun-noun-noun compounds has been investigated by Liberrnan (1992), Pustejovsky et al (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S><S sid = NA ssid = NA>Evans and Gazdar 1990; Copestake and Briscoe 1992; Russell et al. 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-2005.txt | Citing Article:  W07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Pustejovsky et al., 1993) points out that the existing approaches to resolving the ambiguity of noun phrases fall roughly into two camps: adjacency and dependency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this example we look at the behavior of noun phrases and the prepositional phrases that follow them.</S><S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


