Citance Number: 1 | Reference Article:  W04-3207.txt | Citing Article:  H05-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, the work that is the closest to ours in spirit is the idea of joint estimation (Smith and Smith, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the spirit of joint optimization, we might have also combined the Korean morphology and syntax models into one inference task.</S><S sid = NA ssid = NA>We might take the projection idea a step farther.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-3207.txt | Citing Article:  H05-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, Smith and Smith (2004) proposed to merge an English parser, a word alignment model, and a Korean PCFG parser trained from a small number of Korean parse trees under a unified log linear model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first is the Korean PCFG trained on the small KTB training sets, as described in §3.3.</S><S sid = NA ssid = NA>We model the sequence of morphemes and their tags as a log-linear trigram model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-3207.txt | Citing Article:  P09-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We know of only one study which evaluates these bilingual grammar formalisms on the task of grammar induction itself (Smith and Smith, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This inference task is carried out by a bilingual parser.</S><S sid = NA ssid = NA>While both of these formalisms require bilingual grammar rules, Eisner (2003) describes an algorithm for learning tree substitution grammars from unaligned trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-3207.txt | Citing Article:  W12-3411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Smith and Smith, 2004) tried to build a Korean parser by bilingual approach with English, and achieved labeled precision/recall around 40% for Korean.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unlabeled precision and recall show continued improvement with more Korean training data.</S><S sid = NA ssid = NA>The bilingual parser without the English head span filter gives a small recall improvement on average at similar precision.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W04-3207.txt | Citing Article:  H05-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Smith and Smith (2004) explore syntactic projection further by proposing an English-Korean bilingual parser integrated with a word translation model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our bilingual parser, the English and Korean parses are mediated through word-to-word translational correspondence links.</S><S sid = NA ssid = NA>We can describe this effect as a filtering of Korean constituents by the English model and word alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


