Citance Number: 1 | Reference Article:  W04-2705.txt | Citing Article:  N06-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Chinese Nombank extends the general annotation framework of the English Proposition Bank (Palmer et al, 2005) and the English Nombank (Meyers et al, 2004) to the annotation of nominalized predicates in Chinese.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using techniques similar to those described in (Meyers et al., 1998) in combination with our work on GLARF (Meyers et al., 2001a; Meyers et al., 2001b), we expect to build a hand-coded PROPBANKER a program designed to produce a PropBank/NomBank style analysis from Penn Treebank style input.</S><S sid = NA ssid = NA>Finally, it is unlikely that there is an empty category that is an argument of a predicate noun unless the empty category is linked to some real NP.B WRONG-POS We use procedures that are part of our systems for generating GLARF, a predicate argument framework discussed in (Meyers et al., 2001a; Meyers et al., 2001b), to detect incorrect parts of speech in the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W04-2705.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NomBank (Meyers et al, 2004) is a similar resource for nominal predicates, but we do not consider it in our experiments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using techniques similar to those described in (Meyers et al., 1998) in combination with our work on GLARF (Meyers et al., 2001a; Meyers et al., 2001b), we expect to build a hand-coded PROPBANKER a program designed to produce a PropBank/NomBank style analysis from Penn Treebank style input.</S><S sid = NA ssid = NA>This paper describes the NomBank project in detail including its specifications and the process involved in creating the resource.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W04-2705.txt | Citing Article:  P10-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We then describe a novel CCG analysis of NP predicate argument structure, which we implement usingNomBank (Meyers et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, it is unlikely that there is an empty category that is an argument of a predicate noun unless the empty category is linked to some real NP.B WRONG-POS We use procedures that are part of our systems for generating GLARF, a predicate argument framework discussed in (Meyers et al., 2001a; Meyers et al., 2001b), to detect incorrect parts of speech in the Penn Treebank.</S><S sid = NA ssid = NA>Using techniques similar to those described in (Meyers et al., 1998) in combination with our work on GLARF (Meyers et al., 2001a; Meyers et al., 2001b), we expect to build a hand-coded PROPBANKER a program designed to produce a PropBank/NomBank style analysis from Penn Treebank style input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W04-2705.txt | Citing Article:  P10-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We currently do not have an analysis that allows support verbs to supply noun arguments, so we do not recover any of the long-range dependency structures described by Meyers et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using techniques similar to those described in (Meyers et al., 1998) in combination with our work on GLARF (Meyers et al., 2001a; Meyers et al., 2001b), we expect to build a hand-coded PROPBANKER a program designed to produce a PropBank/NomBank style analysis from Penn Treebank style input.</S><S sid = NA ssid = NA>In fact, the combination lead to and cancellation do not have any of the typical features of SUPPORT described in figure 9.</S> | Discourse Facet:  NA | Annotator: Automatic

