Citance Number: 2 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['15'] | Citation Marker:  2005 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">However, detailed research (Zhou et al., 2005) shows that itâ€™s difficult to extract new effective features to further improve the extraction accuracy.</S> | Reference Offset:  ['193'] | Reference Text:  <S sid ="193" ssid = "75">Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.</S> | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka |


Citance Number: 3 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['180'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['180'] | Citation Text:  <S sid ="180" ssid = "28">Furthermore, when the UPST (FPT) kernel is com bined with a linear state-of-the-state feature- based kernel (Zhou et al., 2005) into a composite one via polynomial interpolation in a setting similar to Zhou et al.</S> | Reference Offset:  ['51','52'] | Reference Text:  <S sid ="51" ssid = "7">Moreover, we only apply the simple linear kernel, although other kernels can peform better.</S><S sid ="52" ssid = "8">The reason why we choose SVMs for this purpose is that SVMs represent the state-of–the-art in the machine learning research community, and there are good implementations of the algorithm available.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka | 


Citance Number: 5 | Reference Article:  P05-1053.xml | Citing Article:  C10-1018.xml | Citation Marker Offset:  ['42'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "5">Most of the features used in our system are based on the work in (Zhou et al., 2005).</S> | Reference Offset:  ['17'] | Reference Text:  <S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 6 | Reference Article:  P05-1053.xml | Citing Article:  C10-1018.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['45'] | Citation Text:  <S sid ="45" ssid = "8">Due to space limitations, we only describe the collocation features and refer the reader to (Zhou et al., 2005) for the rest of the features.</S> | Reference Offset:  ['40'] | Reference Text:  <S sid ="40" ssid = "11">This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


