Citance Number: 1 | Reference Article:  W02-0109.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>If evaluated against the requirements for teaching environments discussed in (Loper and Bird, 2002), GATE covers them all quite well.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>NLTK covers symbolic and statistical natural language processing, and is interfaced to annotated corpora.</S><S sid = NA ssid = NA>In surveying the available languages, we believe that Python offers an especially good fit to the above requirements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  W02-0109.txt | Citing Article:  W02-0108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, other such modules, e.g., those from NLTK (Loper and Bird, 2002), can be used for such assignments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>NLTK can be used to create student assignments of varying difficulty and scope.</S><S sid = NA ssid = NA>The wide variety of existing modules provide many opportunities for creating these simple assignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  W02-0109.txt | Citing Article:  P13-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Punkt sentence splitter from NLTK (Loper and Bird, 2002) to perform both sentence and word segmentation on each text chunk.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, it can be used to show how these individual rules combine to find a complete parse for a given sentence.</S><S sid = NA ssid = NA>However, it should be efficient enough that students can use their NLP systems to perform real tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  W02-0109.txt | Citing Article:  P06-4018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>NLTK, the Natural Language Toolkit, is a suite of Python modules providing many NLP data types, processing tasks, corpus samples and readers, together with animated algorithms, tutorials, and problem sets (Loper and Bird, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>NLTK, the Natural Language Toolkit, is a suite of open source program modules, tutorials and problem sets, providing ready-to-use computational linguistics courseware.</S><S sid = NA ssid = NA>NLTK: The Natural Language Toolkit</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  W02-0109.txt | Citing Article:  D10-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For English and German documents in all experiments, we removed stop words (Loper and Bird, 2002), stemmed words (Porter and Boulton, 1970), and created a vocabulary of the most frequent 5000 words per language (this vocabulary limit was mostly done to ensure that the dictionary-based bridge was of manageable size).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The token module provides basic classes for processing individual elements of text, such as words or sentences.</S><S sid = NA ssid = NA>A variety of toolkits have been created for research or R&D purposes.</S> | Discourse Facet:  NA | Annotator: Automatic


