Citance Number: 1 | Reference Article:  H89-2014.xml | Citing Article:  W93-0111.xml |  Citation Marker Offset:  ['178'] | Citation Marker:  Kupiec, 1989 | Citation Offset:  ['178'] | Citation Text:  <S sid ="178" ssid = "178">This approach is similar in spirit to the iterative computational approaches of the Hidden Markov Models (Kupiec, 1989</S> | Reference Offset:  ['27'] | Reference Text:  <S sid ="27" ssid = "27">The work described here also makes use of a hidden Markov model.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  H89-2014.xml | Citing Article:  A92-1018.xml | Citation Marker Offset:  ['47'] | Citation Marker:  Kupiec, 1989a | Citation Offset:  ['47'] | Citation Text:  <S sid ="47" ssid = "47">In [Kupiec, 1989a], networks are used to selectively augment the context in a basic first- order model, rather than using uniformly second-order dependencies.</S> | Reference Offset:  ['124', '125'] | Reference Text:  <S sid ="124" ssid = "124">A model containing all of the refinements described, was tested using a magazine article containing 146 sentences (3,822 words).</S><S sid ="125" ssid = "125">A 30,000 word dictionary was used, supplemented by inflectional analysis for words not found directly in the dictionary.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  H89-2014.xml | Citing Article:  A92-1018.xml | Citation Marker Offset:  ['108'] | Citation Marker:  Kupiec, 1989a | Citation Offset:  ['108'] | Citation Text:  <S sid ="108" ssid = "108">adequate training requires processing from tens of thousands to hundreds of thousands of tokens [Kupiec, 1989a].</S> | Reference Offset:  ['87', '88', '89'] | Reference Text:  <S sid ="87" ssid = "87">An alternative to uniformly increasing the order of the conditioning is to extend it selectively.</S><S sid ="88" ssid = "88">Mixed higher- order context can be modeled by introducing explicit state sequences.</S><S sid ="89" ssid = "89">In the arrangement the basic first-order network remains, permitting all possible category sequences, and modeling first-order dependency.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  H89-2014.xml | Citing Article:  J93-2006.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Kupiec 1989 | Citation Offset:  ['40','41'] | Citation Text:  <S sid ="40" ssid = "40">We report in Section 2 on our experiments on the assignment of part of speech to words in text.</S><S sid ="41" ssid = "41">The effectiveness of such models is well known (DeRose 1988; Church 1988; Kupiec 1989; Jelinek 1985)</S> | Reference Offset:  ['1'] | Reference Text:  <S sid ="1" ssid = "1">The paper describes refinements that are currently being investigated in a model for part-of-speech assignment to words in unrestricted text.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  H89-2014.xml | Citing Article:  H91-1046.xml | Citation Marker Offset:  ['21'] | Citation Marker:  1989 | Citation Offset:  ['21'] | Citation Text:  <S sid ="21" ssid = "21">Kupiec (1989) has experimented with the inclusion of networks to model mixed-order dependencies.</S> |  Reference Offset:  ['88', '90'] | Reference Text:  <S sid ="88" ssid = "88">Mixed higher- order context can be modeled by introducing explicit state sequences.</S><S sid ="90" ssid = "90">The basic network is then augmented with the extra state sequences which model certain category sequences in more detail.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


