Citance Number: 1 | Reference Article:  P07-1031.txt | Citing Article:  P14-2131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For WSJ parsing, we use the standard train (02-21) / dev (22) / test (23) split and apply the NP bracketing patch by Vadas and Curran (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When they shuffled their data with Lauer’s to create a new test and training split, their accuracy increased to 83.1% which may be a result of the 10% duplication in Lauer’s test set.</S><S sid = NA ssid = NA>Girju et al. (2005) draw a training set from raw WSJ text and use it to train a decision tree classifier achieving 73.1% accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We apply an automatic conversion process using the gold-standard NP data annotated by Vadas and Curran (2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There have also been attempts to solve this task using supervised methods, even though the lack of gold-standard data makes this difficult.</S><S sid = NA ssid = NA>Base-NP structure is also important for annotated data derived from the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, Vadas and Curran (2007a) annotated internal NP structure for the entire Penn Treebank, providing a large gold-standard corpus for NP bracketing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With a large annotated corpus, we can now run supervised NP bracketing experiments.</S><S sid = NA ssid = NA>Base-NP structure is also important for annotated data derived from the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, the precision on NML and JJP constituents was quite high, so the parser is able to identify at least some of the structure very well.</S><S sid = NA ssid = NA>The label of the newly created constituent is NML or JJP, depending on whether its head is a noun or an adjective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Vadas and Curran (2007a) annotation scheme inserts NML and JJP brackets to describe the correct NP structure, as shown below: (NP (NML (NN lung) (NN cancer)) (NNS deaths)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance on only the new NML and JJP brackets is not very high.</S><S sid = NA ssid = NA>For NML and JJP, we also show the words bracketed, as they would appear under an NP node.</S> | Discourse Facet:  NA | Annotator: Automatic


