Citance Number: 1 | Reference Article:  P98-2204.txt | Citing Article:  E99-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I am grateful for valuable comments by Barbara Grosz, Udo Hahn, Aravind Joshi, Lauri Karttunen, Andrew Kehler, Ellen Prince, and Bonnie Webber.</S><S sid = NA ssid = NA>< posy, then x y. Summarizing Table 2, I state the following preference ranking for discourse entities in Ui and U2-1: hearer-old discourse entities in U, hearer-old discourse entities in Ui_1, mediated discourse entities in Ui, mediated discourse entities in Ui_i, hearernew discourse entities in U2, hearer-new discourse entities in Ui_1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P98-2204.txt | Citing Article:  D11-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>According to Nissim et al, their definitions are built upon Prince? s (1981), and the categorization into old, new, and mediated entities resemble those of Strube (1998) and Eckert and Strube (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The S-list ranking criteria define a preference for hearer-old over hearer-new discourse entities (Prince, 1981) generalizing Strube & Hahn's (1996) approach.</S><S sid = NA ssid = NA>If x E OLD and y E NEW, then x y.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P98-2204.txt | Citing Article:  W00-1423.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our model of prominence is a simple local one similar to (Strube, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Anaphora resolution is performed with a simple look-up in the S-list3.</S><S sid = NA ssid = NA>Instead of using the Cb to account for local coherence, in my model this is achieved by comparing the first element of the S-list with the preceding state.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P98-2204.txt | Citing Article:  W99-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I am grateful for valuable comments by Barbara Grosz, Udo Hahn, Aravind Joshi, Lauri Karttunen, Andrew Kehler, Ellen Prince, and Bonnie Webber.</S><S sid = NA ssid = NA>< posy, then x y. Summarizing Table 2, I state the following preference ranking for discourse entities in Ui and U2-1: hearer-old discourse entities in U, hearer-old discourse entities in Ui_1, mediated discourse entities in Ui, mediated discourse entities in Ui_i, hearernew discourse entities in U2, hearer-new discourse entities in Ui_1.</S> | Discourse Facet:  NA | Annotator: Automatic


