Citance Number: 1 | Reference Article:  J86-3001.txt | Citing Article:  P89-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a discourse progresses, an adequate discourse model must represent the relevant entities, and the relationships between them (Grosz and Sidner, 1986), A speaker may then felicitously refer anaphorically to an object (subject to focusing or centering constraints (Grosz et al, 1983, Sidner 1981, 1983, Brennan et al 1987)) if there is an existing DE representing it, or if a corresponding DE may be directly inferred from an existing DE.</S> | Reference Offset:  ['37','162'] | Reference Text:  <S sid = 37 ssid = >The theory is a further development and integration of two lines of research: work on focusing in discourse (Grosz 1978a, 1978b, 1981) and more recent work on intention recognition in discourse (Sidner and Israel 1981; Sidner 1983; 1985; Allen 1983, Litman 1985; Pollack 1986).</S><S sid = 162 ssid = >Reichman-Adar 1984, Schank et al. 1982, Mann and Thompson 1983), nor on the particulars of individual intentions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J86-3001.txt | Citing Article:  P98-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It was reported that the lexical chains closely correlated to the intentional structure (Grosz and Sidner, 1986) of the texts, where the start and end of chains coincided with the intention ranges.</S> | Reference Offset:  ['28','96'] | Reference Text:  <S sid = 28 ssid = >An account of discourse structure is closely related to two questions: What individuates a discourse?</S><S sid = 96 ssid = >Butterworth (1975) found speech rate differences that correlated with segments; speech rate is slower at start of a segment than toward the end.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J86-3001.txt | Citing Article:  W12-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most well-known of work from this period is that of Mann and Thompson (1988), Grosz and Sidner (1986b), Moore and Moser (1996), Polanyi and van den Berg (1996), and Asher and Lascarides (2003).</S> | Reference Offset:  ['162','401'] | Reference Text:  <S sid = 162 ssid = >Reichman-Adar 1984, Schank et al. 1982, Mann and Thompson 1983), nor on the particulars of individual intentions.</S><S sid = 401 ssid = >The dominance relationships that actually shape the intentional structure cannot be known a priori, because the specific intentions that will come into play are not known (never by the OCP, hardly ever by the ICP) until the utterances in the discourse have been made.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J86-3001.txt | Citing Article:  W12-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >That is, as Grosz and Sidner (1986b) argued several years ago, the sentences may only be related by their communicative intentions one sentence intended to draw the reader's attention to the specific error that was made (so that the reader knows what was mis-stated), the other intended to correct it.</S> | Reference Offset:  ['136','252'] | Reference Text:  <S sid = 136 ssid = >Intentions that are intended to be recognized achieve their intended effect only if the intention is recognized.</S><S sid = 252 ssid = >All the primary intentions for this essay are intentions that the reader (OCP) come to believe some proposition.</S> | Discourse Facet:  NA | Annotator: Automatic


