Citance Number: 1 | Reference Article:  E06-1032.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although both methods have gained mainstream acceptance and have shown good correlations with human judgments, their deficiencies have become more evident and serious as research in MT and summarization progresses (Callison-Burch et al, 2006).</S> | Reference Offset:  ['0','41'] | Reference Text:  <S sid = 0 ssid = >Re-Evaluation The Role Of Bleu In Machine Translation Research</S><S sid = 41 ssid = >Papineni et al. (2002) showed that Bleu correlated with human judgments in its rankings of five Chinese-to-English machine translation systems, and in its ability to distinguish between human and machine translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E06-1032.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Callison-Burch et al (2006) point out three prominent factors: Synonyms and paraphrases are only handled if they are in the set of multiple reference translations [available]; The scores for words are equally weighted so missing out on content-bearing material brings no additional penalty; The brevity penalty is a stop-gap measure to compensate for the fairly serious problem of not being able to calculate recall.</S> | Reference Offset:  ['33','73'] | Reference Text:  <S sid = 33 ssid = >Because Bleu is precision based, and because recall is difficult to formulate over multiple reference translations, a brevity penalty is introduced to compensate for the possibility of proposing highprecision hypothesis translations which are too short.</S><S sid = 73 ssid = >Therefore omitting content-bearing lexical items does not carry a greater penalty than omitting function words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E06-1032.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This substitution technique has shown some improvement in translation quality (Callison-Burch et al, 2006).</S> | Reference Offset:  ['12','52'] | Reference Text:  <S sid = 12 ssid = >We show that under some circumstances an improvement in Bleu is not sufficient to reflect a genuine improvement in translation quality, and in other circumstances that it is not necessary to improve Bleu in order to achieve a noticeable improvement in translation quality.</S><S sid = 52 ssid = >It is also therefore possible to have a higher Bleu score without any genuine improvement in translation quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E06-1032.txt | Citing Article:  W12-6216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nevertheless, it was later found that its correlation factor with subjective evaluations (the original reason for its success) is actually not so high as first thought (Callison-Burch et al, 2006).</S> | Reference Offset:  ['40','66'] | Reference Text:  <S sid = 40 ssid = >The primary reason that Bleu is viewed as a useful stand-in for manual evaluation is that it has been shown to correlate with human judgments of translation quality.</S><S sid = 66 ssid = >However, at today’s levels the amount of variation that Bleu admits is unacceptably high.</S> | Discourse Facet:  NA | Annotator: Automatic


