Citance Number: 1 | Reference Article:  H94-1048.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, Ratnaparkhi et al (1994) conducted human experiments with a subset of their corpus.</S> | Reference Offset:  ['11','146'] | Reference Text:  <S sid = 11 ssid = >We also describe a search procedure for selecting a "good" subset of features from a much larger pool of features for PP-attachment.</S><S sid = 146 ssid = >Magerman, D., 1994.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H94-1048.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Collins and Brooks (1995) introduced modifications to the Ratnaparkhi et al (1994) dataset meant to combat data sparsity and used the modified version to train their backed-off model.</S> | Reference Offset:  ['70','138'] | Reference Text:  <S sid = 70 ssid = >Train Maximum Entropy Model, using features in .A4 5.</S><S sid = 138 ssid = >Wadsworth and Brooks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H94-1048.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Stetina and Nagao (1997) trained on a version of the Ratnaparkhi et al (1994) dataset that contained modifications similar to those by Collins and Brooks (1995) and excluded forms not present in WordNet.</S> | Reference Offset:  ['8','138'] | Reference Text:  <S sid = 8 ssid = >We present our methods in the context of prepositional phrase (PP) at- tachment.</S><S sid = 138 ssid = >Wadsworth and Brooks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H94-1048.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The system achieved 89.0% on a similarly modified Ratnaparkhi et al (1994) dataset.</S> | Reference Offset:  ['92','146'] | Reference Text:  <S sid = 92 ssid = >The results in Table 2 are achieved in the neighborhood of about 200 features.</S><S sid = 146 ssid = >Magerman, D., 1994.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H94-1048.txt | Citing Article:  P14-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They used a version of the Ratnaparkhi et al (1994) dataset that had all words lemmatized and all digits replaced by @.</S> | Reference Offset:  ['79','146'] | Reference Text:  <S sid = 79 ssid = >The chosen feature is added to M and used in the ME Model.</S><S sid = 146 ssid = >Magerman, D., 1994.</S> | Discourse Facet:  NA | Annotator: Automatic


