Citance Number: 1 | Reference Article:  D08-1035.txt | Citing Article:  P13-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Discourse cues as predictive features of topic boundaries have also been considered in Eisenstein and Barzilay (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Bayesian framework provides a principled way to incorporate additional features such as cue phrases, a powerful indicator of discourse structure that has not been previously used in unsupervised segmentation systems.</S><S sid = NA ssid = NA>To incorporate cue phrases, this generative model is modified to reflect the idea that some of the text will be topic-specific, but other terms will be topic-neutral cue phrases that express discourse structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1035.txt | Citing Article:  N09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Eisenstein and Barzilay (2008) extend this work by marginalizing the language models using the Dirichlet compound multinomial distribution; this permits efficient inference to be performed directly in the space of segmentations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Dirichlet compound multinomial integrates over language models, but we must still set the prior θ0.</S><S sid = NA ssid = NA>We consider two approaches to handling the language models: estimating them explicitly, and integrating them out, using the Dirichlet Compound Multinomial distribution (also known as the multivariate Polya distribution).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1035.txt | Citing Article:  N09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Eisenstein and Barzilay (2008) describe a dynamic program for linear segmentation with a space complexity of O (T) and time complexities of O (T 2) to compute the A matrix and O (TW) to fill the B matrix.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These values can be stored in a table of size T (equal to the number of sentences); this admits a dynamic program that performs inference in polynomial time.3 If the number of segments is specified in advance, the dynamic program is slightly more complex, with a table of size TK.</S><S sid = NA ssid = NA>Both of these last two systems use dynamic programming to search the space of segmentations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1035.txt | Citing Article:  N09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Eisenstein and Barzilay (2008) use the same dataset to evaluate linear topic segmentation, though they evaluated only at the level of sections, given gold standard chapter boundaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For text, we introduce a dataset in which each document is a chapter selected from a medical textbook (Walker et al., 1990).7 The task is to divide each chapter into the sections indicated by the author.</S><S sid = NA ssid = NA>This dataset contains 227 chapters, with 1136 sections (an average of 5.00 per chapter).</S> | Discourse Facet:  NA | Annotator: Automatic


