Citance Number: 1 | Reference Article:  P05-1067.txt | Citing Article:  P05-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dependency trees capture important aspects of functional relationships between words and have been shown to be useful in many applications including relation extraction (Culotta and Sorensen, 2004), paraphrase acquisition (Shinyama et al, 2002) and machine translation (Ding and Palmer, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our MT system was evaluated using the n-gram based Bleu (Papineni et al., 2002) and NIST machine translation evaluation software.</S><S sid = NA ssid = NA>Different versions of such training algorithms can be found in (Hajic et al., 2002; Eisner 2003; Gildea 2003; Graehl and Knight 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1067.txt | Citing Article:  W08-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A syntax-based system might be able to check this sort of agreement if it produced a target-side dependency tree as in Ding and Palmer (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper we presented a syntax-based statistical MT system based on a Synchronous Dependency Insertion Grammar and a non-isomorphic stochastic tree-to-tree transducer.</S><S sid = NA ssid = NA>In this paper, we present a syntax-based statistical matranslation system based on a probabilistic synchronous dependency insertion grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1067.txt | Citing Article:  W08-0319.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ding and Palmer (2005) improve over word-based MT baseline with a formalism very similar to STSG.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The heuristic function is based on a set of heuristics, most of which are similar to those in (Ding and Palmer, 2004a).</S><S sid = NA ssid = NA>Similar to (Ding and Palmer, 2004a), we also use a heuristic function in Step 1(a) of the algorithm to rank all the word pairs for the tentative tree partitioning operation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1067.txt | Citing Article:  W06-1616.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Dependency parsing is useful for applications such as relation extraction (Culotta and Sorensen, 2004) and machine translation (Ding and Palmer, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The machine translation is done either as a stochastic tree-to-tree transduction or a synchronous parsing process.</S><S sid = NA ssid = NA>Machine Translation Using Probabilistic Synchronous Dependency Insertion Grammars</S> | Discourse Facet:  NA | Annotator: Automatic


