Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Offset,Citation Text,Reference Offset,Reference Text,Discourse Facet
1,W99-0623,A00-2005,0.0,0.0,Henderson and Brill (1999) showed that independent human research efforts produce parsers that can be combined for an overall boost in accuracy,['111'],"<S sid =""111"" ssid = ""40"">The first row represents the average accuracy of the three parsers we combine.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['22'],"<S sid =""22"" ssid = ""8"">If enough parsers suggest that a particular constituent belongs in the parse, we include it.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['24'],"<S sid =""24"" ssid = ""10"">We include a constituent in our hypothesized parse if it appears in the output of a majority of the parsers.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['34'],"<S sid =""34"" ssid = ""20"">Mi(c) is a binary function returning t when parser i (from among the k parsers) suggests constituent c should be in the parse.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['46'],"<S sid =""46"" ssid = ""32"">None of the parsers produce parses with crossing brackets, so none of them votes for both of the assumed constituents.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['60'],"<S sid =""60"" ssid = ""46"">First we present the non-parametric version of parser switching, similarity switching: The intuition for this technique is that we can measure a similarity between parses by counting the constituents they have in common.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['84'],"<S sid =""84"" ssid = ""13"">The first shows how constituent features and context do not help in deciding which parser to trust.</S>",Method_Citation
4,W99-0623,N10-1091,0.0,0.0,"(Henderson and Brill, 1999) used a similar framework in the context of constituent parsing and only three base parsers",['97'],"<S sid =""97"" ssid = ""26"">If we were working with more than three parsers we could investigate minority constituents, those constituents that are suggested by at least one parser, but which the majority of the parsers do not suggest.</S>",Method_Citation
6,W99-0623,W05-1518,0.0,0.0,"This approach roughly corresponds to (Henderson and Brill, 1999)'s Naive Bayes parse hybridization",['16'],"<S sid =""16"" ssid = ""2"">We call this approach parse hybridization.</S>",Method_Citation
8,W99-0623,W05-1518,0.0,0.0,"(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)",['4'],"<S sid =""4"" ssid = ""4"">The resulting parsers surpass the best previously published performance results for the Penn Treebank.</S>",Results_Citation
8,W99-0623,W05-1518,0.0,0.0,"(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)",['40'],"<S sid =""40"" ssid = ""26"">Lemma: If the number of votes required by constituent voting is greater than half of the parsers under consideration the resulting structure has no crossing constituents.</S>",Method_Citation
8,W99-0623,W05-1518,0.0,0.0,"(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)",['76'],"<S sid =""76"" ssid = ""5"">The standard measures for evaluating Penn Treebank parsing performance are precision and recall of the predicted constituents.</S>",Results_Citation
8,W99-0623,W05-1518,0.0,0.0,"(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)",['120'],"<S sid =""120"" ssid = ""49"">The precision and recall of similarity switching and constituent voting are both significantly better than the best individual parser, and constituent voting is significantly better than parser switching in precision.4 Constituent voting gives the highest accuracy for parsing the Penn Treebank reported to date.</S>",Method_Citation
8,W99-0623,W05-1518,0.0,0.0,"(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)",['130'],"<S sid =""130"" ssid = ""59"">The PCFG was trained from the same sections of the Penn Treebank as the other three parsers.</S>",Method_Citation
10,W99-0623,P01-1005,0.0,0.0,"Voting has proven to be an effective technique for improving classifier accuracy for many applications, including part-of-speech tagging (van Halteren, et al 1998), parsing (Henderson and Brill, 1999), and word sense disambiguation (Pederson, 2000)",['9'],"<S sid =""9"" ssid = ""5"">Recently, combination techniques have been investigated for part of speech tagging with positive results (van Halteren et al., 1998; Brill and Wu, 1998).</S>",Method_Citation
12,W99-0623,D09-1161,0.0,0.0,"Henderson and Brill (1999) combine three parsers and obtained an F1 score of 90.6, which is better than the score of 88.6 obtained by the best individual parser as reported in their paper",['85'],"<S sid =""85"" ssid = ""14"">We then show that the combining techniques presented above give better parsing accuracy than any of the individual parsers.</S>",Results_Citation
16,W99-0623,N09-2064,0.0,0.0,"(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents",['16'],"<S sid =""16"" ssid = ""2"">We call this approach parse hybridization.</S>",Method_Citation
16,W99-0623,N09-2064,0.0,0.0,"(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents",['27'],"<S sid =""27"" ssid = ""13"">Another technique for parse hybridization is to use a naïve Bayes classifier to determine which constituents to include in the parse.</S>",Method_Citation
