Citance Number: 1 | Reference Article:  N06-1020.txt | Citing Article:  P06-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We should keep in mind that (1) a tree bank PCFG is not state-of-the-art: its performance is mediocre compared to e.g. Bod (2003) or McClosky et al (2006), and (2) that our tree bank PCFG is binarized as in Klein and Manning (2005) to make results comparable.</S> | Reference Offset:  ['9','41'] | Reference Text:  <S sid = 9 ssid = >Finally, there are “unsupervised” strategies where no data is labeled and all annotations (including the grammar itself) must be discovered (Klein and Manning, 2002).</S><S sid = 41 ssid = >The reranker is not able to suggest new parses and, moreover, uses the probability of each parse tree according to the parser as a feature to perform the reranking.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1020.txt | Citing Article:  P06-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-2-0001.</S><S sid = 191 ssid = >We would like to thank Michael Collins, Brian Roark, James Henderson, Miles Osborne, and the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1020.txt | Citing Article:  W10-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, McClosky et al (2006) improved a statistical parser by self-training.</S> | Reference Offset:  ['24','25'] | Reference Text:  <S sid = 24 ssid = >Gildea (2001) and Bacchiani et al. (2006) show that out-of-domain training data can improve parsing accuracy.</S><S sid = 25 ssid = >The unsupervised adaptation experiment by Bacchiani et al. (2006) is the only successful instance of parsing self-training that we have found.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1020.txt | Citing Article:  D08-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its success stories range from parsing (McClosky et al, 2006) to machine translation (Ueffing, 2006).</S> | Reference Offset:  ['24','25'] | Reference Text:  <S sid = 24 ssid = >Gildea (2001) and Bacchiani et al. (2006) show that out-of-domain training data can improve parsing accuracy.</S><S sid = 25 ssid = >The unsupervised adaptation experiment by Bacchiani et al. (2006) is the only successful instance of parsing self-training that we have found.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N06-1020.txt | Citing Article:  D08-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >previously used for self-training of parsers (McClosky et al, 2006).</S> | Reference Offset:  ['24','25'] | Reference Text:  <S sid = 24 ssid = >Gildea (2001) and Bacchiani et al. (2006) show that out-of-domain training data can improve parsing accuracy.</S><S sid = 25 ssid = >The unsupervised adaptation experiment by Bacchiani et al. (2006) is the only successful instance of parsing self-training that we have found.</S> | Discourse Facet:  NA | Annotator: Automatic


