Citance Number: 1 | Reference Article:  J99-1003.txt | Citing Article:  P00-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (1999) aligns texts using correspondence points taken either from orthographic cognates (Michel Simard et al., 1992) or from a seed translation lexicon.</S> | Reference Offset:  ['170','395'] | Reference Text:  <S sid = 170 ssid = >When the matching predicate cannot generate enough candidate correspondence points based on cognates, its signal can be strengthened by a seed translation lexicon— a simple list of word pairs that are believed to be mutual translations.</S><S sid = 395 ssid = >The translation lexicon was automatically extracted from an MRBD (Cousin et al. 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J99-1003.txt | Citing Article:  P00-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The latter approach uses other filtering parameters: maximum point ambiguity level, point dispersion and angle deviation (Melamed, 1999, pp. 115-116).</S> | Reference Offset:  ['214','270'] | Reference Text:  <S sid = 214 ssid = >The remaining chains are filtered using two threshold parameters: maximum point dispersal and maximum angle deviation.</S><S sid = 270 ssid = >SIMR's parameters—the fixed chain size; the LCSR threshold used in the matching predicate; and the thresholds for maximum point dispersal, maximum angle deviation, and maximum point ambiguity—interact in complicated ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J99-1003.txt | Citing Article:  P00-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (1999) also filtered candidate correspondence points obtained from orthographic cognates.</S> | Reference Offset:  ['136','170'] | Reference Text:  <S sid = 136 ssid = >Two words are orthographic cognates if they have the same meaning and similar spellings.</S><S sid = 170 ssid = >When the matching predicate cannot generate enough candidate correspondence points based on cognates, its signal can be strengthened by a seed translation lexicon— a simple list of word pairs that are believed to be mutual translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J99-1003.txt | Citing Article:  P00-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach is similar to Melamed (1999) but, in contrast, it is statistically supported and uses no heuristics.</S> | Reference Offset:  ['83','225'] | Reference Text:  <S sid = 83 ssid = >Another interesting approach is possible when part-of-speech taggers are available for both languages.</S><S sid = 225 ssid = >SIMR uses a fixed chain size k, 6 < k < 11.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J99-1003.txt | Citing Article:  P13-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a similarity function proposed in (Contractor et al, 2010) which is based on Longest Common Subsequence Ratio (LCSR) (Melamed, 1999).</S> | Reference Offset:  ['146','147'] | Reference Text:  <S sid = 146 ssid = >The matching predicates in SIMR's current implementation threshold the Longest Common Subsequence Ratio (LCSR).</S><S sid = 147 ssid = >The LCSR of two tokens is the ratio of the length of their longest (not necessarily contiguous) common subsequence (LCS) and the length of the longer token.</S> | Discourse Facet:  NA | Annotator: Automatic


