Citance Number: 1 | Reference Article:  P03-1022.txt | Citing Article:  W03-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Consider the following example (see Figure 1 for an illustration): In recent work dealing with pronoun resolution in spoken dialogue (Strube and Muller, 2003), different types of expressions (noun phrases, verb phrases, whole utterances and disfluencies) had to be annotated.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the top level, different types of markables are distinguished: NPmarkables identify referring expressions like noun phrases, pronouns and proper names.</S><S sid = NA ssid = NA>Disfluency-markables are noun phrases or pronouns which occur in unfinished or abandoned utterances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1022.txt | Citing Article:  D12-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1022.txt | Citing Article:  D12-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1022.txt | Citing Article:  W07-1523.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Xiaofeng et al. (2004) or Strube and Müller (2003) have shown the feasibility of decision trees for the domain of anaphora resolution; we have chosen this approach as it makes it possible to easily switch the information set for training and evaluation as opposed to e.g. rewriting rule sets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes the extensions and adaptations needed for applying our anaphora resolution system (M¨uller et al., 2002; Strube et al., 2002) to pronoun resolution in spoken dialogue.</S><S sid = NA ssid = NA>Paul et al. (1999) presented a corpus-based anaphora resolution algorithm for spoken dialogue.</S> | Discourse Facet:  NA | Annotator: Automatic


