Citance Number: 1 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['82','264'] | Reference Text:  <S sid = 82 ssid = >The one miselassified case had a low score for all models, indicating a lack of confidence in any classification.</S><S sid = 264 ssid = >OF COL1NG-92, NANrFES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Yarowsky (1992) has found a way to extend our use of the Bayesian techniques by training on the Roget's Thesaurus (Chapman, 1977) 2 and G-rolier's Encyclopedia (1991) instead of the Canadian Hansards, thus circumventing many of the objections to our use of the Hansards.</S> | Reference Offset:  ['174','196'] | Reference Text:  <S sid = 174 ssid = >We use a word-aligned parallel bilingual corpus uch as the French-English Canadian Hansards for this purpose.</S><S sid = 196 ssid = >By identifying word correspondences in a bilingual text such as the Canadian Parliamentary Proceedings (Hansards), the translations found fur each English word may serve as sense tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky (1992) inputs a 100-word context surrounding a polysemous word and scores each of the 1042 Roget Categories by: 1[ P r (w lRoget Categoryi) w in context The program can also be run in a mode where it takes unrestricted text as input and tags each word with its most likely Roget Category.</S> | Reference Offset:  ['28','33'] | Reference Text:  <S sid = 28 ssid = >Furthermore, the context indicators for a Roget category (e.g.</S><S sid = 33 ssid = >For each of the 1042 Roget Categories: 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 1 shows the performance of Yarowsky (1992) on twelve words which have been previously discussed in the literature.</S> | Reference Offset:  ['125','126'] | Reference Text:  <S sid = 125 ssid = >Eva luat ion The algorithm described above was applied to 12 polysemous words previously discussed in the sense disambignation literature.</S><S sid = 126 ssid = >Table 1 (previous l~lge) shows the systenls performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, both Black (1988) and Yarowsky (1992) report 72% performance on this very same word.</S> | Reference Offset:  ['148','219'] | Reference Text:  <S sid = 148 ssid = >Black (1988) has noted that his disfnction for interest is strongly corrected with th?</S><S sid = 219 ssid = >Black, Ez~ (1988), "An Experiment in Computational Discrimination of English Word Sea~s."</S> | Discourse Facet:  NA | Annotator: Automatic


