Citance Number: 1 | Reference Article:  P94-1012.txt | Citing Article:  E95-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In byte-length ratio approaches, the presence of long stretches of blocks that have roughly similar lengths can be problematic, and some improvement can be achieved by augmenting the byte-length measure by scores derived from lexical feature matching (Wu, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The introductory session header exemplifies a weakness of the pure length-based strategy, namely, its susceptibility to long stretches of passages with roughly similar lengths.</S><S sid = NA ssid = NA>To obtain further improvement in alignment accuracy requires matching the passages' lexical content, rather than using pure length criteria.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P94-1012.txt | Citing Article:  P13-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, the statistical correlation of sentence length between English and Chinese is not as high as that between two Indo European languages (Wu, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In summary, we have found that the statistical correlation of sentence lengths has a far greater variance for our English-Chinese materials than with the Indo-European materials used by Gale & Church (1991).</S><S sid = NA ssid = NA>To our knowledge, this is the first large-scale empirical demonstration that a pure length-based method can yield high accuracy sentence alignments between parallel texts in Indo-European and entirely dissimilar non-alphabetic, non-IndoEuropean languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P94-1012.txt | Citing Article:  P13-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As shown in Chen (1993) and Wu (1994), however, sentence length based methods suffer when the texts to be aligned contain small passages, or the languages involved share few cognates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If translated sentences share cognates, then the character lengths of those cognates are of course correlated.</S><S sid = NA ssid = NA>1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P94-1012.txt | Citing Article:  W02-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are basically three kinds of approaches on sentence alignment: the length-based approach (Gale and Church 1991 and Brown et al 1991), the lexical approach (Key and Roscheisen 1993), and the combination of them (Chen 1993, Wu 1994 and Langlais 1998, etc.).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1993).</S><S sid = NA ssid = NA>1991; Chen 1993), and coarser approaches when sentences are difficult to identify have also been advanced (Church 1993; Dagan el at.</S> | Discourse Facet:  NA | Annotator: Automatic


