Citance Number: 1 | Reference Article:  N04-1038.txt | Citing Article:  E12-1054.txt | Citation Marker Offset:  ['7'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Measuring the contextual fitness of a term in its context is a key component in different NLP applications like speech recognition (Inkpen and DeÂ´silets, 2005), optical character recognition (Wick et al., 2007), co-reference resolution (Bean and Riloff, 2004)</S> | Reference Offset:  ['8'] | Reference Text:  <S sid ="8" ssid = "8">The focus of our work is on the use of contextual role knowledge for coreference resolution.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |


Citance Number: 2 | Reference Article:  N04-1038.txt | Citing Article:  H05-1003.txt | Citation Marker Offset:  ['35'] | Citation Marker:  2004 | Citation Offset:  ['35','36'] | Citation Text:  <S sid ="35" ssid = "11">Recently Bean and Riloff (2004) have sought to acquire automatically some semantic patterns that can be used as contextual information to improve reference resolution, using techniques adapted from information extraction.</S><S sid ="36" ssid = "12">Their experiments were conducted on collections of texts in two topic areas (terrorism and natural disasters).</S> | Reference Offset:  ['18','19','201'] | Reference Text:  <S sid ="18" ssid = "18">We have developed a coreference resolver called BABAR that uses contextual role knowledge to make coreference decisions.</S><S sid ="19" ssid = "19">BABAR employs information extraction techniques to represent and learn role relationships.</S><S sid ="201" ssid = "139">We evaluated BABAR on two domains: terrorism and natural disasters.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 3 | Reference Article:  N04-1038.txt | Citing Article:  N13-1104.txt | Citation Marker Offset:  ['109'] | Citation Marker:  2004 | Citation Offset:  ['109'] | Citation Text:  <S sid ="109" ssid = "5">the dependency from the event head to an event argument depi,j , our model instead emits the pair of event head and dependency relation, which we call a caseframe following Bean and Riloff (2004).</S> | Reference Offset:  ['68'] | Reference Text:  <S sid ="68" ssid = "6">Our representation of contextual roles is based on information extraction patterns that are converted into simple caseframes.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 4 | Reference Article:  N04-1038.txt | Citing Article:  N13-1110.txt | Citation Marker Offset:  ['207'] | Citation Marker:  2004 | Citation Offset:  ['207','208','209'] | Citation Text:  <S sid ="207" ssid = "10">Another source of inspiration is the work by Bean and Riloff (2004).</S><S sid ="208" ssid = "11">They use contextual roles (i.e., the role that an NP plays in an event) for extracting patterns that can be used in coreference resolution, showing the relevance of verbs in deciding on coreference between their arguments.</S><S sid ="209" ssid = "12">However, they use a very small corpus (two domains) and do not aim to build a dictionary.</S> | Reference Offset:  ['18','19','20'] | Reference Text:  <S sid ="18" ssid = "18">We have developed a coreference resolver called BABAR that uses contextual role knowledge to make coreference decisions.</S><S sid ="19" ssid = "19">BABAR employs information extraction techniques to represent and learn role relationships.</S><S sid ="20" ssid = "20">Each pattern represents the role that a noun phrase plays in the surrounding context.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


