Citance Number: 1 | Reference Article:  N06-1006.txt | Citing Article:  W11-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pado et al. (2009) uses Textual Entailment features extracted from the Standford Entailment Recognizer (MacCartney et al, 2006).</S> | Reference Offset:  ['24','31'] | Reference Text:  <S sid = 24 ssid = >A more structured approach is to formulate the entailment prediction as a graph matching problem (Haghighi et al., 2005; de Salvo Braz et al., 2005).</S><S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-1006.txt | Citing Article:  W07-0211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some authors have already designed similar matching techniques, such as the ones described in (MacCartney et al, 2006) and (Snow et al, 2006).</S> | Reference Offset:  ['24','31'] | Reference Text:  <S sid = 24 ssid = >A more structured approach is to formulate the entailment prediction as a graph matching problem (Haghighi et al., 2005; de Salvo Braz et al., 2005).</S><S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-1006.txt | Citing Article:  D08-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Marsi and Krahmer (2005) and MacCartney et al (2006) first advocated pipelined system architectures containing a distinct alignment component, a strategy crucial to the top-performing systems of Hickl et al (2006) and Hickl and Bensley (2007).</S> | Reference Offset:  ['31','173'] | Reference Text:  <S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S><S sid = 173 ssid = >We show comparable results from recent systems based on lexical similarity (Jijkoun and de Rijke, 2005), graph alignment (Haghighi et al., 2005), weighted abduction (Raina et al., 2005), and a mixed system including theorem proving (Bos and Markert, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-1006.txt | Citing Article:  D08-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have previously emphasized (MacCartney et al, 2006) that there is more to inferential validity than close lexical or structural correspondence: negations, modals, non-factive and implicative verbs, and other linguistic constructs can affect validity in ways hard to capture in alignment.</S> | Reference Offset:  ['43','137'] | Reference Text:  <S sid = 43 ssid = >First, the above systems assume a form of upward monotonicity: if a good match is found with a part of the text, other material in the text is assumed not to affect the validity of the match.</S><S sid = 137 ssid = >To capture these phenomena, we compiled small lists of “factive” and non-factive verbs, clustered according to the kinds of entailments they create.</S> | Discourse Facet:  NA | Annotator: Automatic


