Citance Number: 1 | Reference Article:  P06-2101.txt | Citing Article:  W06-2929.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The system consists of three phases: a probabilistic vine parser (Eisner and N. Smith, 2005) that produces unlabeled dependency trees, a probabilistic relation-labeling model, and a discriminative minimum risk reranker (D. Smith and Eisner, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>N. A. Smith and J. Eisner.</S><S sid = NA ssid = NA>Conditional random fields: Probabilistic models for segmenting labeling sequence data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-2101.txt | Citing Article:  D08-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A different approach to minimize the expected BLEU score is suggested in (Smith and Eisner, 2006) who use deterministic annealing to gradually turn the objective function from a convex entropy surface into the more complex risk surface.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Seeking to avoid local minima, deterministic annealing (Rose, 1998) gradually changes the objective function from a convex entropy surface to the more complex risk surface (§3).</S><S sid = NA ssid = NA>N. A. Smith and J. Eisner.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-2101.txt | Citing Article:  D10-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Deterministic Annealing was suggested by Smith and Eisner (2006) where the authors propose to minimize the expected loss or risk.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At each temperature setting of deterministic annealing, we need to minimize the expected loss on the training corpus.</S><S sid = NA ssid = NA>N. A. Smith and J. Eisner.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-2101.txt | Citing Article:  D08-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This linearization technique has been applied elsewhere when working with BLEU: Smith and Eisner (2006) approximate the expectation of log BLEU score.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>N. A. Smith and J. Eisner.</S><S sid = NA ssid = NA>We found this to perform significantly better on BLEU evaluation than if we trained with a “linearized” BLEU that summed per-sentence BLEU scores (as used in minimum Bayes risk decoding by Kumar and Byrne (2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-2101.txt | Citing Article:  P09-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the geometric interpolation above, the weight controls the relative veto power of the n-gram approximation and can be tuned using MERT (Och, 2003) or a minimum risk procedure (Smith and Eisner, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>N. A. Smith and J. Eisner.</S><S sid = NA ssid = NA>2003.</S> | Discourse Facet:  NA | Annotator: Automatic


