Citance Number: 1 | Reference Article:  C94-1027.txt | Citing Article:  W11-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For both tasks the reordering was performed as a preprocessing step using POS information from the TreeTagger (Schmid, 1994) for German and using the Amira Tagger (Diab, 2009) for Arabic.</S> | Reference Offset:  ['8','118'] | Reference Text:  <S sid = 8 ssid = >A part-of-speech tagger is a system which automat- ically assigns the part of speech to words using con- textual information.</S><S sid = 118 ssid = >In the next step, an information measure I(S) was calculated for each node of the tree: I(S) = - ~ P(posiS ) tomd(p,>,qS) (7) po* IIere, S is the suffix which corresponds to the current node and P(poslS ) is the probability of tag pos given a word with suff ix S. Using this information measure, the suffix tree has been pruned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C94-1027.txt | Citing Article:  A97-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C94-1027.txt | Citing Article:  P98-2132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C94-1027.txt | Citing Article:  P98-2132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The correct rate of tagging of these models has reached 95%, in part by using a very large amount of training data (e.g., 1,000,000 words in Schmid, 1994).</S> | Reference Offset:  ['140','142'] | Reference Text:  <S sid = 140 ssid = >Its performance was tested on a 100,000 word subpart which was not part of the training corlms.</S><S sid = 142 ssid = >The training of the tagger took one day on a Sparcl0 workstation and the tagging of 100,000 words took 12 minutes on the same machine.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C94-1027.txt | Citing Article:  P98-2132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C94-1027.txt | Citing Article:  P98-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


